NAME:,walking3,,
EXPERIMENT TIME:,05/06/2023 19:17,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,122,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.001,0,-3.1,6.32
0.002,-0.2,-3.02,7.06
0.003,0.24,-3.18,8.08
0.004,0.04,-3.22,8.28
0.005,-0.16,-3.33,7.96
0.006,0.04,-3.53,7.77
0.007,-0.08,-3.8,7.53
0.008,0,-4.67,8.59
0.009,0.59,-5.1,10.9
0.01,2.04,-4.67,12.71
0.011,2.24,-4.16,12.24
0.012,2.12,-3.96,11.57
0.013,-0.59,-1.14,12.94
0.014,2.98,-0.04,12.43
0.015,1.65,-1.02,8.98
0.016,1.45,-0.27,7.41
0.017,1.77,-0.55,6.24
0.018,1.49,-0.47,4.82
0.019,1.33,-1.41,3.96
0.02,0.55,-2.39,4.04
0.021,0.59,-2.16,5.26
0.022,0.67,-2.79,5.65
0.023,0.75,-3.69,7.65
0.024,0.31,-3.02,9.65
0.025,1.18,-4.04,10.94
0.026,1.1,-5.88,11.38
0.027,1.18,-6.24,16.2
0.028,2.35,2,15.85
0.029,-0.98,0.08,9.73
0.03,-0.27,-1.8,9.02
0.031,1.41,-0.98,8.83
0.032,0.75,-0.59,5.61
0.033,0.9,-1.22,3.45
0.034,-0.55,-2.08,2.16
0.035,-0.39,-2.43,3.73
0.036,-1.18,-3.06,5.22
0.037,-0.71,-3.1,7.41
0.038,-0.08,-2.63,9.69
0.039,0.75,-3.69,11.34
0.04,1.41,-3.26,10.71
0.041,2.12,-4.43,10.24
0.042,2.43,-5.53,13.22
0.043,1.88,0.9,14.91
0.044,3.77,-1.41,10.32
0.045,3.1,-3.37,8.51
0.046,0.94,0.04,7.57
0.047,1.18,-0.94,6.43
0.048,0,-1.65,4.82
0.049,-0.16,-2.28,3.57
0.05,0.24,-3.02,4.2
0.051,0.51,-3.18,5.41
0.052,0.35,-4.08,7.18
0.053,0.59,-3.49,9.73
0.054,0.9,-4.12,10.4
0.055,1.73,-5.02,11.1
0.056,-0.31,-7.45,12.32
0.057,1.26,-0.55,15.77
0.058,0.12,-0.47,9.65
0.059,-0.39,-4.16,8.16
0.06,0.86,-1.26,10.94
0.061,0.78,-0.27,8.83
0.062,1.22,-1.18,5.57
0.063,0.43,-1.8,4.04
0.064,0.27,-2.12,4.12
0.065,0.63,-2.82,4.86
0.066,0.04,-2.79,5.96
0.067,0.04,-2.63,7.37
0.068,0.47,-3.77,8.83
