NAME:,walk_3_2.csv,,
EXPIRAMENT TIME:,19/06/2023 12:37,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS::,114,,
,,,
Time [sec],ACC X,ACC Y,ACC Z 
0,-9.85,1.49,-4.24
0.1,-10.28,1.29,-3.84
0.2,-9.57,1.29,-3.8
0.3,-9.34,1.37,-4.16
0.4,-9.61,1.26,-4.2
0.5,-10.36,1.33,-5.3
0.6,-11.41,1.53,-5.41
0.7,-8.04,0.78,-5.26
0.8,-7.85,0.71,-5.41
0.9,-8.12,-0.16,-4.51
1,-9.77,0.51,-5.14
1.1,-11.92,1.57,-5.73
1.2,-9.92,2.59,-7.3
1.3,-7.61,-0.43,-2.79
1.4,-7.3,1.41,-4.63
1.5,-8.75,1.29,-4
1.6,-11.38,3.26,-2.43
1.7,-11.34,2.2,-6.04
1.8,-8.51,2.63,-6.39
1.9,-6.9,0.35,-5.1
2,-7.69,0.63,-4.16
2.1,-9.53,0.98,-4.35
2.2,-10.28,2.04,-5.02
2.3,-12.24,2.71,-8
2.4,-6.83,1.8,-5.3
2.5,-7.57,0.98,-3.96
2.6,-8.9,0.2,-4.08
2.7,-10.04,1.22,-2.9
2.8,-12.04,2.24,-5.73
2.9,-8.39,1.06,-6.16
3,-6.35,0.51,-4.28
3.1,-7.69,0.59,-4
3.2,-10.2,0.82,-4.67
3.3,-11.61,1.02,-5.22
3.4,-10.98,1.92,-6.67
3.5,-8.71,2.16,-5.57
3.6,-6.67,1.41,-3.96
3.7,-9.45,1.1,-3.53
3.8,-11.49,1.29,-4.82
3.9,-11.65,1.18,-4.9
4,-9.69,2.04,-6.39
4.1,-7.3,0.51,-3.88
4.2,-7.69,0.59,-3.02
4.3,-11.34,0.55,-4.08
4.4,-11.81,2,-5.57
4.5,-10.67,1.8,-6.71
4.6,-7.65,1.14,-3.69
4.7,-7.37,0.43,-3.02
4.8,-10.32,1.69,-3.92
4.9,-12.47,1.45,-5.61
5,-11.41,1.53,-7.22
5.1,-7.53,-0.43,-4.28
5.2,-7.1,0.51,-3.73
5.3,-8.79,1.45,-3.88
5.4,-10.9,1.41,-5.22
5.5,-10.63,1.37,-5.84
5.6,-8.43,1.37,-5.3
5.7,-7.37,1.8,-4.63
5.8,-8.04,0.78,-3.45
5.9,-10.98,0.86,-4.86
6,-11.89,1.14,-5.77
6.1,-8.94,1.49,-6.32
6.2,-7.69,0.86,-4.24
6.3,-7.45,0.39,-3.02
6.4,-9.85,0.63,-4.67
6.5,-10.98,1.84,-5.81
6.6,-11.14,1.8,-6.24
6.7,-7.65,1.73,-4.71
6.8,-6.83,1.1,-3.88
6.9,-10.24,2.16,-4.12
7,-11.92,1.57,-5.57
7.1,-11.38,1.73,-7.06
7.2,-7.65,0.16,-5.37
7.3,-6.83,0.82,-4.35
7.4,-8.04,0.82,-3.92
7.5,-10.98,0.78,-5.69
7.6,-11.06,1.29,-6.12
