NAME:,running2,,
EXPERIMENT TIME:,05/06/2023 19:26,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,170,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.001,-0.59,-3.26,8.24
0.002,-0.59,-3.26,8.47
0.003,-0.51,-3.3,8.24
0.004,-0.47,-3.49,8.08
0.005,-0.59,-2.9,8.98
0.006,-0.39,-2.9,9.34
0.007,-0.31,-2.94,9.38
0.008,-0.39,-2.55,9.57
0.009,0,-2.16,10
0.01,0.24,-1.73,9.45
0.011,0.39,-1.26,8.79
0.012,0.55,-1.73,8.16
0.013,0.43,-1.8,7.88
0.014,0.35,-1.96,8.51
0.015,0.31,-1.96,9.06
0.016,0.39,-2,9.38
0.017,0.47,-2.2,8.87
0.018,0.75,-2.67,7.92
0.019,0.39,-2.67,7.53
0.02,0.31,-2.67,7.73
0.021,0.59,-2.63,8.2
0.022,0.39,-2.59,8.2
0.023,0.35,-3.06,8.04
0.024,0.16,-2.94,8.28
0.025,0.27,-2.86,8.79
0.026,0.16,-2.86,8.51
0.027,0.16,-3.1,7.96
0.028,0.2,-3.1,7.88
0.029,0.12,-3.26,7.69
0.03,-0.2,-3.3,7.3
0.031,0,-3.61,7.49
0.032,-0.51,-3.53,7.37
0.033,-0.71,-4.2,7.88
0.034,0.31,-3.45,10.87
0.035,-1.92,-3.37,10.24
0.036,-1.22,-5.06,11.34
0.037,-1.53,-5.33,12.36
0.038,-1.29,-3.92,11.73
0.039,-0.75,-3.84,10
0.04,-0.51,-2.39,6.9
0.041,0.04,-1.73,4.67
0.042,0.08,-1.8,4.28
0.043,-0.04,-0.59,4.63
0.044,0.31,-1.14,4.35
0.045,0.86,-1.1,6.51
0.046,0.94,-3.45,12.32
0.047,1.37,-4.16,15.22
0.048,-0.27,-3.45,14.59
0.049,0.82,-4.55,12.87
0.05,-0.67,-6.16,9.77
0.051,-0.43,-4.55,7.34
0.052,-0.86,-3.65,4.59
0.053,-1.18,-3.57,1.69
0.054,-0.35,-2.59,2.43
0.055,-1.33,-0.86,3.41
0.056,0.04,-2.59,6.35
0.057,-2.35,-4.35,11.41
0.058,0.16,-7.18,19.22
0.059,-2.75,-2.63,17.77
0.06,0.24,-2.71,17.06
0.061,2.31,-3.3,13.06
0.062,-1.53,-2.2,4.63
0.063,2.12,-1.41,3.65
0.064,0.08,0,2.35
0.065,0.27,-0.39,2.24
0.066,0.78,-0.2,4
0.067,-0.75,-5.22,7.41
0.068,1.37,-6.98,12.28
0.069,0.47,-7.37,9.57
0.07,0.86,-8.47,8.94
0.071,0.55,-4.71,6.12
0.072,-2,-5.22,4.08
0.073,1.73,-3.61,5.73
0.074,-0.39,-2.04,4.75
0.075,-1.88,-2.43,5.1
0.076,-1.26,-0.51,7.37
0.077,-2.94,-5.14,9.34
0.078,-1.37,-8.08,16.63
0.079,-3.61,-5.06,14.79
0.08,-0.78,-6,12.32
0.081,-0.04,-5.26,12.47
0.082,-2.51,1.92,9.14
0.083,1.14,0.24,5.45
0.084,1.73,-1.84,3.1
0.085,0.71,0.35,3.65
0.086,1.77,1.69,5.33
0.087,1.65,-1.8,5.26
0.088,2.9,-10.08,11.02
0.089,0.71,-4.75,10.98
0.09,2.43,-6.79,9.85
0.091,1.41,-7.1,9.22
0.092,-0.82,-5.22,4.75
0.093,-1.41,-5.92,2.47
0.094,-1.41,-2.55,3.69
0.095,-2.63,-0.71,4.82
0.096,-0.94,-3.06,9.38
0.097,-2.16,-6.75,17.42
0.098,-2.35,-5.37,18.12
0.099,-1.18,-4.75,11.69
0.1,0.78,-6.08,7.1
0.101,-0.75,-0.55,8
0.102,1.49,2.12,7.69
0.103,2.59,-1.57,5.02
0.104,1.22,-1.65,4.35
0.105,0.12,0.67,4.9
0.106,1.88,-1.1,6.39
0.107,2.35,-7.41,11.49
0.108,-1.18,-5.73,13.38
0.109,2.24,-3.77,10.75
0.11,2.55,-9.65,8.16
0.111,1.1,-6.51,7.65
0.112,-0.78,-3.3,4.2
0.113,-2.94,-5.81,2.35
0.114,-3.96,-2.28,3.73
0.115,-2.51,-2.08,6.47
0.116,-1.77,-5.45,9.34
0.117,-1.14,-5.92,18.67
0.118,-1.73,-3.49,17.85
0.119,0.08,-4.79,10.28
0.12,1.69,-3.8,5.77
0.121,-0.04,-1.06,6.47
0.122,1.53,1.8,6.39
0.123,2.94,-1.33,3.88
0.124,0.75,-1.73,3.14
0.125,0.27,0.31,5.96
0.126,2.67,-3.33,7.14
0.127,0.12,-10.47,12.87
0.001,0,-2.63,14.79
0.002,2.79,-6.43,8.24
0.003,2.2,-11.14,6
0.004,-0.67,-5.14,5.3
0.005,-0.35,-3.57,3.37
0.006,-2.47,-4.43,3.8
0.007,-2.63,-2.12,5.92
0.008,-1.45,-1.61,8.08
0.009,-1.88,-9.45,12.98
0.01,-0.9,-8.43,17.34
0.011,-4.31,-1.84,11.34
0.012,2.75,-7.61,7.37
0.013,0.2,-0.9,8.75
0.014,-1.73,4.43,8
0.015,1.45,0,4.86
0.016,1.8,-2.51,4.47
0.017,1.49,-1.1,6.51
0.018,1.73,0.24,8.2
0.019,1.53,-8.79,12.2
0.02,0.47,-6.47,13.38
0.021,0.51,-5.26,7.85
0.022,2.75,-10.08,4.67
0.023,2.12,-7.18,6.43
0.024,-0.12,-0.98,5.37
0.025,-1.41,-5.3,2.79
0.026,-2.28,-3.22,4.51
0.027,-1.88,-1.88,7.41
0.028,-0.9,-7.1,9.85
0.029,-1.57,-8.63,16.32
0.03,-4.16,-3.22,13.53
0.031,-0.71,-5.65,7.37
0.032,0.31,-2.79,6.98
0.033,0.55,0.71,5.69
0.034,2.71,-0.67,5.26
0.035,1.92,-2.35,5.14
0.036,1.8,-0.63,6.2
0.037,1.41,0.39,6.98
0.038,3.77,-7.49,10.4
0.039,0.9,-5.84,14.67
0.04,-0.75,-1.61,11.65
0.041,2.86,-9.53,6.59
0.042,0.67,-5.41,6.86
0.043,0.55,-1.65,5.65
0.044,-0.04,-3.88,2.94
0.045,-2.55,-4.04,3.49
0.046,-2.2,-1.84,6.12
0.047,0.08,-4.2,9.1
0.048,-1.49,-8.71,14.32
0.049,-0.82,-3.96,15.42
0.05,-1.49,-6.28,10.43
0.051,0.86,-5.18,12.91
0.052,-0.55,0,11.49
0.053,0.86,0.55,6.79
0.054,2.67,-1.14,2.94
0.055,1.14,-0.31,2.67
0.056,0.63,1.45,2.9
0.057,1.8,-5.18,5.22
0.058,1.14,-6.94,12.98
0.059,-1.02,0,13.53
0.06,4.79,-9.3,8.63
0.061,1.41,-9.65,6.24
0.062,0.75,-1.45,9.3
0.063,0.75,-4.9,7.22
0.064,-3.41,-3.61,3.1
0.065,-3.1,-2.75,4.12
0.066,-0.24,-3.61,8.39
0.067,-2.86,-6.79,14.2
0.068,-0.2,-7.61,15.97
0.069,-2.08,-4.86,11.57
0.07,2.2,-5.37,9.89
0.071,1.1,-1.29,8.51
0.072,1.29,-1.29,5.53
0.073,1.53,-0.51,2.98
0.074,-1.06,0.78,2.43
0.075,1.41,-1.18,4.55
0.076,1.53,-3.41,8.59
0.077,0.27,-5.65,16.08
0.078,1.96,-3.65,18.67
0.079,1.02,-5.33,10.67
0.08,0.75,-8.04,4.35
0.081,0.24,-5.96,5.96
0.082,0.43,-0.2,6.04
0.083,-2.51,-5.02,1.06
0.084,-2.08,-4.59,1.49
0.085,-1.41,-2.59,4.75
0.086,-4,-9.85,7.96
0.087,-4,-8.79,18.44
0.088,-2.94,-4.75,17.97
0.089,-0.08,-6.59,12.55
0.09,3.45,-3.06,12.71
0.091,-1.73,3.57,7.02
0.092,2.35,0.98,3.14
0.093,0.63,0.47,0.55
0.094,-0.16,2.12,1.37
0.095,1.1,3.18,4.59
0.096,1.88,-5.61,8.2
0.097,2.82,-7.14,15.38
0.098,1.29,-3.88,11.85
0.099,6.79,-10.75,14.32
0.1,0.43,-3.96,13.1
0.101,-2.63,-3.14,7.41
0.102,-2.47,-5.88,3.53
0.103,-6.32,-2.82,2.43
0.104,-5.22,-3.73,4.47
0.105,-3.02,-3.37,7.77
0.106,-5.49,-10.12,16.04
0.107,0.35,-6.79,18.79
0.108,-2.2,-2.24,11.18
0.109,1.53,-3.49,7.61
0.11,0.9,0.08,7.45
0.111,0.08,2.2,5.14
0.112,1.8,1.26,2.9
0.113,1.77,0.55,1.84
0.114,1.96,1.65,2.71
0.115,4.43,-2.16,5.57
0.116,1.92,-10.83,17.42
0.117,1.02,0.16,19.85
0.118,4.31,-7.57,11.81
0.119,0.63,-9.18,8.2
0.12,-0.43,-1.96,9.34
0.121,-2.35,-3.96,5.26
0.122,-4.04,-5.81,2.08
0.123,-4.55,-3.65,2.67
0.124,-3.1,-3.1,6.16
0.125,-3.73,-7.77,8.98
0.126,-2.67,-8.39,16
0.127,-2.43,-3.22,14.32
0.128,-1.22,-1.73,8.24
0.129,0.47,-4.86,7.1
0.13,-0.04,2.71,7.69
0.131,0.51,1.92,4.59
0.132,3.69,-0.39,3.18
0.133,1.45,2,3.3
0.134,2.82,-10.71,12.67
0.135,2.71,-4.47,18.24
0.136,2.75,-6.98,13.06
0.137,2.67,-11.22,7.06
0.138,0.04,-4.82,8.67
0.139,0.2,-1.49,7.53
0.14,-2.39,-3.92,2.71
0.141,-3.18,-4.43,2.16
0.142,-2.75,-4.16,4.82
0.143,-3.92,-8.98,7.49
0.144,-4.28,-6.94,16.16
0.145,-4.9,-1.88,16.44
0.146,1.84,-2.94,10.87
0.147,1.45,-3.06,9.85
0.148,0.98,2.35,7.73
0.149,1.8,0.35,4.63
0.15,1.22,0.51,1.65
0.151,1.14,1.69,1.1
0.152,2.2,0.51,4.59
0.153,3.45,-4.2,11.18
0.154,2.43,-9.49,18.12
0.155,-2.28,0.39,15.85
0.156,4.39,-9.85,9.61
0.157,0.63,-7.41,9.69
0.158,-0.27,-0.35,9.69
0.159,-2.71,-4.79,4.35
0.16,-3.1,-5.84,2.04
0.161,-3.88,-2.94,4.79
0.162,-2.55,-3.18,6.28
0.163,-3.45,-10.79,13.3
0.164,-0.24,-8.71,20.01
0.165,-1.41,-4.59,14.4
0.166,2.86,-5.02,7.53
0.167,1.33,1.1,7.92
0.168,0.35,5.02,8.2
0.169,0.71,1.65,4.24
0.17,1.77,0.04,3.53
0.171,1.41,1.84,5.22
0.172,3.14,-5.45,8.51
0.173,-0.27,-5.65,14
0.174,1.92,1.37,16.36
0.175,3.65,-7.73,9.89
0.176,2.9,-8.28,8.87
0.177,1.84,-4.59,9.14
0.178,-1.61,-2.51,5.33
0.179,-3.06,-3.18,1.1
0.18,-2.04,-3.45,1.65
0.181,-2.43,-4.35,3.53
0.182,-1.77,-3.26,7.1
0.183,-3.61,-9.85,13.93
0.184,0.12,-6.75,18.63
0.185,-2.31,-2.12,15.3
0.186,1.96,-3.22,6.75
0.187,0.24,-2.9,5.49
0.188,1.02,1.45,5.81
0.189,2.24,2.04,5.33
0.19,2.04,-1.92,3.8
0.191,0.9,0.67,5.14
0.192,2.55,-2.9,9.02
0.193,2.39,-7.81,16.24
0.194,0.59,-1.1,14.95
0.195,1.14,-6.43,9.61
0.196,1.88,-11.06,7.14
0.197,0.86,-4.31,7.77
0.198,-0.47,-2.31,5.49
0.199,-2.75,-5.22,0.82
0.2,-2.55,-3.3,1.57
0.201,-1.53,-3.3,6.28
0.202,-3.45,-9.96,11.85
0.203,0.16,-8.55,18.08
0.204,-1.88,-3.61,17.42
0.205,-0.71,-1.92,9.3
0.206,0.43,-3.49,5.18
0.207,-0.12,0.78,6.94
0.208,0.55,3.18,6.35
0.209,1.88,-0.55,3.77
0.21,1.29,-1.06,5.18
0.211,3.22,2.59,8.39
0.212,3.18,-10.47,12.24
0.213,0.67,-7.22,15.22
0.214,-0.47,-0.24,11.65
0.215,1.26,-8.36,4.67
0.216,0.47,-4.82,7.77
0.217,-0.63,2.47,6.9
0.218,-1.96,-3.02,1.84
0.219,-2.2,-5.96,0.94
0.22,-3.14,-3.37,4.71
0.221,-4.9,-8.87,8.75
0.222,-3.65,-10.55,17.1
0.223,0.51,-6.16,20.01
0.224,-0.31,-1.61,11.69
0.225,1.06,-4.39,4.75
0.226,1.22,0.9,7.37
0.227,0.24,4.43,6.94
0.228,2.31,0.63,3.37
0.229,1.02,-0.78,2.28
0.23,1.45,2.71,4.94
0.231,1.49,-6.32,10.4
0.232,2.08,-1.69,17.06
0.233,-0.9,-0.39,14.79
0.234,5.33,-10.83,9.65
0.235,2.39,-6.86,9.96
0.236,0.75,-4.59,8.43
0.237,-0.43,-7.14,5.22
0.238,-3.02,-5.02,3.02
0.239,-2.39,-3.88,5.3
0.24,-2.51,-3.84,7.26
0.241,-2.04,-8.39,13.1
0.242,2.51,-8.28,19.02
0.243,-1.8,-2.79,14.51
0.244,0.63,-3.33,7.14
0.245,0.08,-0.9,3.3
0.246,-0.12,1.73,2.67
0.247,2.94,2.47,3.06
0.248,1.26,0.78,2.86
0.249,1.57,2.51,4.59
0.25,3.61,-1.02,7.34
0.251,2.94,-10.51,15.42
0.252,2.31,-2.82,20.01
0.253,1.33,-7.45,14.16
0.254,1.96,-9.41,6.51
0.255,1.02,-3.73,4.24
0.256,0.04,-3.14,5.18
0.257,-2,-3.92,3.1
0.258,-4.12,-4.59,3.65
0.259,-1.96,-3.45,6
0.26,-1.57,-6.71,9.26
0.261,-1.84,-7.57,16.59
0.262,-2.47,-5.18,15.1
0.263,-0.35,-2.04,9.06
0.264,-0.27,-2.63,4.16
0.265,-0.2,0.59,6.79
0.266,1.49,3.06,6.75
0.267,1.26,-0.31,3.14
0.268,0.63,-0.08,3.45
0.269,0.98,1.96,6.94
0.27,3.02,-8.71,11.92
0.271,1.45,-8.2,16.32
0.272,-0.51,-1.84,15.57
0.273,1.8,-8,7.69
0.274,0.04,-5.84,6.16
0.275,0.75,-1.96,7.26
0.276,-0.35,-3.57,3.77
0.277,-2.28,-5.92,2.28
0.278,-3.33,-2.75,6.71
0.279,0.9,-3.57,9.92
0.28,-3.3,-13.69,15.26
0.281,-2.04,-5.69,19.1
0.282,-3.61,-1.22,9.61
0.283,1.65,-5.49,4.43
0.284,-0.04,-1.29,4.24
0.285,0.9,1.49,2.86
0.286,1.18,0.27,4.08
0.287,0.43,0.12,3.88
0.288,-0.04,1.29,5.77
0.289,3.3,-7.57,10.47
0.29,-0.51,-7.02,14.55
0.291,0.35,0.51,18.36
0.292,3.14,-7.61,9.02
0.293,-0.35,-6.55,6.28
0.294,1.84,-2.39,8.36
0.295,-0.12,-3.1,5.26
0.296,-1.96,-5.81,2.9
0.297,-3.69,-4.59,4.94
0.298,-2.39,-4.67,7.61
0.299,-1.06,-8.75,17.42
0.3,-1.53,-5.02,18.16
0.301,-3.22,-3.02,9.77
0.302,1.22,-5.57,7.49
0.303,-0.9,-0.78,6.55
0.304,0.24,1.45,5.57
0.305,2.86,-0.12,4.16
0.306,1.8,-0.16,3.65
0.307,1.69,1.65,5.49
0.308,2.63,-1.53,5.45
0.309,1.84,-10.32,13.06
0.31,-1.73,-0.08,18.28
0.311,2.39,-4.63,12.79
0.312,3.96,-10.16,4.94
0.313,-0.59,-2.9,5.45
0.314,-2.04,0.55,5.92
0.315,-3.14,-5.14,3.26
0.316,-4.35,-4.55,4.43
0.317,-2.51,-4.71,7.65
0.318,-2.98,-10.98,12.51
0.319,0.08,-5.53,20.01
0.32,-3.1,-3.45,14.4
0.321,0.43,-4.79,7.37
0.322,-1.37,-0.67,4.98
0.323,-0.86,1.92,4.98
0.324,1.22,1.92,4.94
0.325,1.14,3.73,4.2
0.326,0,3.61,2.59
0.327,3.3,2.12,3.84
0.328,4.67,-2.79,8.87
0.329,0.47,-4.12,20.01
0.33,1.29,-1.69,20.01
0.331,2.94,-10.24,12.71
0.332,0.47,-5.06,10.32
0.333,-2.08,-2.79,6.75
0.334,0.75,-6.98,3.49
0.335,-3.37,-5.26,1.1
0.336,-2.51,-4.04,4.47
0.337,-1.14,-3.84,6.94
0.338,-4.12,-6.47,13.34
0.339,-1.8,-3.33,15.18
0.34,-2.55,-0.75,10.98
0.341,1.84,-3.77,7.96
0.342,-0.08,-1.02,5.18
0.343,0.98,2.2,4.59
0.344,1.77,1.57,2.98
0.345,1.84,1.29,4.16
0.346,4.67,2,8
0.347,1.8,-10.67,13.45
0.348,4.75,-4.98,20.01
0.349,0.63,-2.28,16.28
0.35,1.77,-8.71,7.92
0.351,0.31,-4.16,7.53
0.352,-0.39,-0.24,7.73
0.353,-2.47,-3.22,1.84
0.354,-2.94,-5.06,0.9
0.355,-2.08,-3.8,4.67
0.356,-1.65,-5.37,6.63
0.357,-1.49,-9.85,14.47
