NAME:,walk_2_1.csv,,
EXPERIMENT TIME:,01/06/2023 09:16,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,117,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,9.34,2.43,-1.26
0.1,9.96,1.18,-1.65
0.2,9.81,0.43,-1.18
0.3,9.81,0.43,-1.18
0.4,8.63,4.51,-3.65
0.5,11.34,1.26,-0.2
0.6,8.39,3.14,-0.63
0.7,6.12,3.8,0.2
0.8,8.9,2.55,2.16
0.9,11.38,2.86,2
1,11.38,2.86,2
1.1,11.38,2.86,2
1.2,11.38,2.86,2
1.3,11.38,2.86,2
1.4,7.41,2.55,0.2
1.5,7.41,2.55,0.2
1.6,7.41,2.55,0.2
1.7,7.41,2.55,0.2
1.8,7.41,2.55,0.2
1.9,7.41,2.55,0.2
2,7.41,2.55,0.2
2.1,7.41,2.55,0.2
2.2,7.41,2.55,0.2
2.3,7.41,2.55,0.2
2.4,8.59,2.51,-1.45
2.5,8.59,2.51,-1.45
2.6,8.59,2.51,-1.45
2.7,8.59,2.51,-1.45
2.8,8.59,2.51,-1.45
2.9,9.26,1.37,-0.43
3,9.26,1.37,-0.43
3.1,9.26,1.37,-0.43
3.2,9.26,1.37,-0.43
3.3,9.26,1.37,-0.43
3.4,10.32,2.08,-0.43
3.5,10.32,2.08,-0.43
3.6,10.32,2.08,-0.43
3.7,10.32,2.08,-0.43
3.8,12,-0.82,0.63
3.9,12,-0.82,0.63
4,12,-0.82,0.63
4.1,12,-0.82,0.63
4.2,12,-0.82,0.63
4.3,11.61,2.51,0.63
4.4,12.83,5.02,1.84
4.5,8.32,4.86,0.35
4.6,10.12,2.28,-1.06
4.7,8.59,1.96,-1.18
4.8,8.2,0.94,-0.63
4.9,8.28,0.78,-0.39
5,10.94,1.73,-1.06
5.1,13.77,-0.35,1.1
5.2,13.77,-0.35,1.1
5.3,6.83,3.37,0.59
5.4,4.98,2.98,0.51
5.5,11.41,3.77,0.71
5.6,10.36,4.2,1.77
5.7,3.33,-0.35,-1.77
5.8,8.79,5.02,-1.65
5.9,9.18,0.63,-0.24
6,8.39,0.98,0.67
6.1,10.79,1.02,-2
6.2,14.08,-0.47,-3.77
6.3,10.08,3.3,-1.8
6.4,8.16,2.2,-0.08
6.5,5.73,2.82,0.16
6.6,7.81,2.39,1.41
6.7,9.61,4.43,2.04
6.8,10.36,2.79,-0.82
6.9,10.04,3.18,-1.33
7,7.96,1.1,-1.14
7.1,8.55,0.9,-0.43
7.2,9.41,0.71,-2.16
7.3,11.81,0.59,-2.28
7.4,9.1,5.02,-4.55
7.5,11.45,1.96,-0.78
7.6,6.9,2.55,0.12
7.7,5.57,2.16,1.41
7.8,12.12,3.84,0.71
7.9,6.83,0.16,-2.16
8,8.71,3.1,-1.53
8.1,8.98,0.94,-0.94
8.2,8.79,1.06,-0.24
8.3,9.81,2,-0.75
8.4,14.55,1.69,-5.84
8.5,11.34,-1.29,1.37
8.6,6.83,2.28,0.55
8.7,5.37,2.63,0.2
8.8,9.34,3.1,0.47
