NAME:,run_3_2.csv,,
EXPIRAMENT TIME:,19/06/2023 13:24,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS::,170,,
,,,
Time [sec],ACC X,ACC Y,ACC Z 
0,0.59,1.84,-11.77
0.1,0.71,1.29,-10.83
0.2,0.75,1.18,-11.57
0.3,1.37,0.35,-11.06
0.4,1.22,0.24,-11.92
0.5,0.86,0.27,-11.96
0.6,0.47,-0.04,-13.26
0.7,-0.2,1.29,-12.51
0.8,0.27,0,-9.26
0.9,-0.31,1.14,-15.57
1,0.35,2.35,-9.22
1.1,1.33,-0.59,-8.04
1.2,0.08,1.06,-17.22
1.3,0.71,1.18,-8.94
1.4,-1.45,0.47,-11.81
1.5,-2.43,5.41,-9.61
1.6,0.27,-0.24,-12.28
1.7,0,2.59,-8.2
1.8,0.31,1.18,-16.08
1.9,-1.14,0.86,-11.41
2,-1.53,2.39,-11.1
2.1,0.04,-0.04,-12.4
2.2,-2.51,1.22,-17.53
2.3,-0.12,1.41,-11.81
2.4,-0.04,0.82,-6.12
2.5,2.59,-0.75,-13.02
2.6,0.24,-1.8,-17.06
2.7,-1.61,2.79,-8.47
2.8,-1.77,0.16,-9.85
2.9,-3.33,4.47,-18.91
3,0.78,0.04,-11.45
3.1,1.22,1.37,-9.1
3.2,2.98,-1.8,-10.75
3.3,-1.18,3.02,-16.44
3.4,-4.04,3.18,-9.1
3.5,4.82,-2.35,-9.53
3.6,-0.24,1.02,-14.12
3.7,0.59,0.55,-13.06
3.8,0,1.06,-8.28
3.9,-1.14,1.8,-16.16
4,-0.59,-0.16,-10.12
4.1,-1.26,2.94,-10.24
4.2,0.75,-0.43,-10.55
4.3,-1.14,1.14,-13.22
4.4,-0.98,0.9,-10.71
4.5,-0.39,2.31,-7.96
4.6,-3.65,7.96,-20.01
4.7,-3.57,4.51,-14.79
4.8,-2.31,5.02,-4.67
4.9,1.33,-1.88,-18.36
5,-0.35,-0.51,-11.3
5.1,-0.59,0.9,-11.89
5.2,0.24,0.39,-8.87
5.3,-0.86,2.9,-13.57
5.4,0.31,0.16,-13.06
5.5,-1.69,2.75,-10.63
5.6,-1.88,1.33,-3.61
5.7,-4.2,0.82,-14.71
5.8,1.14,-1.22,-7.3
5.9,-0.24,2,-11.34
6,0.63,0.16,-10.24
6.1,-2.2,3.45,-16.83
6.2,-3.18,1.29,-8.2
6.3,-3.3,2.75,-11.61
6.4,-5.57,2.35,-13.69
6.5,-0.51,0.71,-8.51
6.6,-1.57,2.75,-10.16
6.7,-0.04,2.2,-15.1
6.8,-1.22,0.39,-10.9
6.9,-1.06,3.06,-9.49
7,-1.22,0.43,-15.46
7.1,-1.1,0.08,-12.47
7.2,0.51,-0.78,-10.83
7.3,-1.1,3.61,-11.57
7.4,1.37,-1.02,-11.89
7.5,-0.86,0.16,-13.22
7.6,-1.06,0.47,-8.12
7.7,1.61,0,-14.44
7.8,-0.27,0.71,-12.83
7.9,2.31,-0.78,-12.4
8,1.96,0.43,-10.87
8.1,-0.27,2.2,-13.85
8.2,0.75,-1.77,-7.57
8.3,-3.1,3.22,-9.1
8.4,-0.12,0.75,-12.63
8.5,0,1.61,-13.81
8.6,0.98,-1.49,-10.75
8.7,-1.22,1.02,-10.79
8.8,-1.49,2.2,-11.96
8.9,-3.41,3.8,-10.04
9,-2.94,0.98,-10.67
9.1,-2.67,0.12,-12.24
9.2,-3.18,1.77,-11.34
9.3,-1.02,0.94,-7.73
9.4,-1.14,0.08,-13.93
9.5,0.63,-0.86,-12
9.6,-1.26,2.43,-8.32
9.7,-0.94,-0.43,-13.26
9.8,-0.51,0.98,-13.18
9.9,1.22,-1.69,-9.22
10,-0.51,1.73,-9.02
10.1,-0.75,2.39,-16.4
10.2,-1.22,1.73,-13.42
10.3,-1.69,1.73,-8.16
10.4,-0.2,1.49,-12.67
10.5,-1.18,2,-16.71
10.6,1.26,-0.47,-6.98
10.7,0.08,0.51,-8.63
10.8,-2.04,0.24,-13.85
10.9,-1.06,-1.88,-9.61
11,-2.43,0.51,-9.26
11.1,-0.04,-1.53,-12.83
11.2,-2.12,0.31,-13.73
11.3,-0.75,0.16,-9.85
11.4,-1.92,1.14,-11.45
11.5,-3.06,3.92,-18.67
11.6,-2.12,0.9,-9.18
11.7,-2.31,0.78,-11.06
11.8,-4.71,2.94,-10.55
11.9,-1.45,-1.37,-11.96
12,1.37,-1.96,-9.81
12.1,-0.39,-0.31,-9.1
12.2,-4.86,7.65,-19.93
12.3,-1.29,-0.9,-9.26
12.4,-3.1,-0.63,-11.65
12.5,-7.3,7.22,-11.38
12.6,3.14,-3.37,-9.69
12.7,5.02,-1.69,-11.77
12.8,-1.29,1.45,-11.41
12.9,-4.47,4.31,-15.02
13,-1.49,1.57,-8.47
13.1,-2.51,0.39,-9.45
13.2,-2.47,2.86,-16.24
13.3,1.1,-2.16,-10.08
13.4,0.43,0.71,-8.2
13.5,-0.43,0.94,-11.45
13.6,-5.3,2.82,-13.61
13.7,-1.49,0.04,-7.53
13.8,-6.71,3.61,-9.77
13.9,-2.12,3.84,-15.77
14,-1.37,1.26,-18.51
14.1,-0.94,1.29,-8.87
14.2,1.06,-1.14,-11.65
14.3,-5.1,6.71,-19.69
14.4,1.06,-1.96,-7.61
14.5,-3.06,1.96,-10.24
14.6,-1.8,4.04,-14.98
14.7,2.12,-4.47,-10.98
14.8,0.35,1.37,-8.9
14.9,0.55,0.27,-9.77
15,-4.63,6.35,-20.01
15.1,-0.2,-1.84,-5.18
15.2,-3.73,1.53,-12.04
15.3,-2.79,1.26,-15.22
15.4,-0.16,-1.49,-15.46
15.5,0.63,0.59,-10.71
15.6,2.55,-1.69,-12.32
15.7,-4.2,4.59,-16.67
15.8,-1.26,1.29,-7.1
15.9,-1.77,2.16,-9.14
16,-1.06,0.43,-15.26
16.1,-1.49,0,-13.06
16.2,1.45,-1.49,-6.98
16.3,-0.2,1.14,-11.69
16.4,-2.47,3.92,-15.46
16.5,-1.8,2.16,-10.47
16.6,-3.49,2.71,-8.59
16.7,-1.49,1.02,-12.63
16.8,0.39,-2,-11.96
16.9,1.06,1.1,-9.06
17,0.27,1.33,-13.45
17.1,-4.24,3.1,-12.16
17.2,-2.98,1.84,-8.9
17.3,-1.84,-2.08,-8.75
17.4,-2.51,1.69,-19.69
17.5,-0.63,0.08,-11.49
17.6,-0.12,1.8,-13.06
17.7,-1.61,0.75,-11.81
17.8,-2,0.16,-11.69
17.9,-3.57,-0.27,-6.2
18,-3.22,0.04,-13.18
18.1,-3.22,3.49,-17.26
18.2,-0.08,-1.1,-11.73
18.3,-0.24,1.02,-7.37
18.4,-4,5.22,-20.01
18.5,0.27,-2.24,-4.08
18.6,-3.1,1.02,-8.63
18.7,-1.65,0.67,-17.77
18.8,-0.78,-2.75,-12.47
18.9,-0.78,0.35,-12.71
19,-0.75,0.27,-10.08
19.1,0.16,0.71,-13.53
19.2,-1.06,0.43,-16.59
19.3,-1.33,0.16,-10.16
19.4,-2,-1.02,-4.79
19.5,-4,4.16,-10.12
19.6,2.39,-2.51,-15.73
19.7,2.12,-0.16,-11.85
19.8,0.04,-0.12,-9.34
19.9,-5.33,0.35,-15.61
20,-0.39,-1.8,-7.96
20.1,-1.22,1.41,-10.75
20.2,-1.69,-2.2,-5.65
20.3,-2.28,-1.88,-8.36
20.4,1.84,-1.02,-10.94
20.5,2.94,-2.9,-11.65
20.6,-2.55,3.26,-17.38
20.7,-1.92,0.35,-7.85
20.8,-0.59,-0.35,-12.71
20.9,-1.37,0.78,-16.71
21,1.1,0.16,-12.87
21.1,-0.24,1.26,-11.14
