NAME: ,run_5_1.csv,,
EXPERIMENT TIME: ,14/06/2023 20:04,,
ACTIVITY TYPE: ,RUNNING,,
COUNT OF ACTUAL STEPS: ,140,,
,,,
Time[sec],ACC X,ACC Y,ACC Z
0,-4.86,-1.92,7.53
0.1,-4.94,-2.71,6.79
0.2,-4.86,-3.02,7.02
0.3,-2.63,-3.1,5.06
0.4,-2.98,-4.24,6.71
0.5,-4.59,-2.86,11.61
0.6,-5.3,0.04,9.41
0.7,-2.67,-0.08,1.84
0.8,-2.51,0,2.35
0.9,-5.88,-1.14,16.79
1,-4.98,-2.59,8.39
1.1,-1.88,-3.92,1.8
1.2,-2.9,-3.45,7.18
1.3,-4.16,-3.73,13.89
1.4,-5.1,0.16,7.81
1.5,-2.59,0.08,2.39
1.6,-2.43,-0.75,6.63
1.7,-3.41,-4.71,13.06
1.8,-5.22,-3.57,4.08
1.9,-2.08,-3.92,1.96
2,-3.3,-2.9,10.59
2.1,-1.8,0.98,2.67
2.2,-4.12,-2.79,9.26
2.3,-6.98,-3.02,11.65
2.4,-2.47,-3.77,1.26
2.5,-4.47,-4.51,5.37
2.6,-3.84,-0.2,9.96
2.7,-4.63,1.53,6.43
2.8,-3.18,0.04,3.3
2.9,-8.87,-4.35,9.69
3,-4.24,-2.82,10.2
3.1,-0.63,-2.59,3.26
3.2,-1.61,-2.63,4.43
3.3,-2.43,-3.84,6.71
3.4,-5.61,-3.77,13.14
3.5,-3.26,-1.57,3.88
3.6,-4.2,-0.63,5.84
3.7,-4.98,-2.47,12.79
3.8,-5.84,-2.47,8.28
3.9,-1.88,-2.31,1.45
4,-1.14,-3.65,4.59
4.1,-5.57,-3.8,10.9
4.2,-6.47,-2.28,15.34
4.3,-1.1,-0.31,1.41
4.4,-1.41,0.71,4.55
4.5,-6.16,-4.2,17.5
4.6,-4.67,-2.55,5.88
4.7,0.08,-3.73,0.51
4.8,-5.14,-4.94,9.02
4.9,-6.16,-2.51,13.49
5,-3.57,0.47,2.2
5.1,-1.41,1.29,2.35
5.2,-6.67,-5.92,8.83
5.3,-4.59,-4.9,7.1
5.4,-2.31,-6,-0.31
5.5,-6.12,-5.22,9.06
5.6,-8.36,-0.08,16.28
5.7,-4.94,2.24,4.86
5.8,-2.55,1.61,2
5.9,-6,-2.12,7.14
6,-5.65,-3.92,13.14
6.1,-3.69,-5.02,1.22
