NAME:,walking5,,
EXPERIMENT TIME:,05/06/2023 19:21,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,155,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.001,2.71,-1.96,8.12
0.002,2.63,-1.84,7.92
0.003,2.67,-2.08,7.77
0.004,2.59,-2.47,7.57
0.005,2.71,-2.47,7.73
0.006,2.63,-2.55,8
0.007,2.24,-2.98,8.94
0.008,2.35,-1.84,10.67
0.009,2.12,-1.96,9.77
0.01,2.04,-3.22,8.98
0.011,2.35,-3.02,10.2
0.012,2.16,-2.63,10.71
0.013,2.2,-2.47,10.04
0.014,1.65,-2.82,7.85
0.015,1.1,-2.86,7.26
0.016,0.94,-2.28,7.37
0.017,0.35,-2.35,6.9
0.018,-0.12,-2.59,6.55
0.019,0.27,-2.9,7.26
0.02,0.94,-3.02,7.69
0.021,1.18,-3.18,8.04
0.022,2,-3.1,8.24
0.023,1.65,-3.37,7.34
0.024,1.69,-3.57,7.22
0.025,2,-3.3,7.69
0.026,1.84,-3.49,7.41
0.027,2.08,-3.65,7.73
0.028,2.47,-4.24,9.69
0.029,4.08,-3.88,13.14
0.03,2.16,-0.55,13.34
0.031,2.2,-1.29,10.63
0.032,3.41,-2.55,9.14
0.033,2.67,-2.12,7.85
0.034,2.04,-2.04,6.79
0.035,1.33,-2.16,5.88
0.036,1.26,-2.2,5.22
0.037,1.92,-2.67,4.82
0.038,2.24,-2.9,5.88
0.039,2.35,-2.79,6.79
0.04,2.47,-2.63,7.81
0.041,2,-3.61,7.34
0.042,2.04,-4.43,8.79
0.043,2.47,-3.61,10.67
0.044,1.45,-4.59,10.47
0.045,0.59,-6.04,11.02
0.046,4.35,-4.75,15.22
0.047,3.33,-0.51,11.41
0.048,0.55,-3.33,7.53
0.049,3.1,-2.82,8.79
0.05,2.55,-1.69,8.43
0.051,1.73,-1.84,5.61
0.052,1.29,-2.31,4.2
0.053,0.67,-2.51,3.92
0.054,0.94,-3.26,4.94
0.055,1.69,-3.1,6.67
0.056,1.26,-2.63,7.02
0.057,1.45,-3.49,6.71
0.058,2,-4.08,7.88
0.059,2.47,-3.53,8.83
0.06,3.22,-6.12,11.49
0.061,6.59,-3.49,15.73
0.062,3.26,-2.04,12.43
0.063,4.35,-3.22,10.87
0.064,3.88,-2.63,8.79
0.065,1.77,-2.35,5.77
0.066,1.06,-2.67,4.39
0.067,0.35,-2.55,4.08
0.068,-0.35,-2.86,4.04
0.069,0.63,-3.65,5.33
0.07,0.59,-3.49,6.39
0.071,1.22,-2.82,8.59
0.072,2,-2.63,9.96
0.073,1.73,-3.53,8.75
0.074,2.12,-4.35,8.63
0.075,2.43,-6.63,12.75
0.076,4.82,-1.96,15.46
0.077,1.65,-2.43,10.51
0.078,1.22,-3.92,10.67
0.079,3.96,-1.92,11.69
0.08,2.55,-1.26,7.3
0.081,1.92,-1.57,4.43
0.082,0.51,-1.88,2.98
0.083,0.24,-2.16,3.22
0.084,0.82,-2.08,4.55
0.085,1.45,-2.08,5.65
0.086,1.45,-2.59,5.1
0.087,1.84,-3.41,5.18
0.088,2.71,-3.53,5.92
0.089,2.94,-3.49,6.51
0.09,3.18,-4.94,8.12
0.091,4.86,-4.82,13.81
0.092,4.04,-4.55,16.2
0.093,6.28,-4.28,16.36
0.094,6.63,-3.41,10.87
0.095,1.92,-4.08,7.14
0.096,1.73,-4,5.06
0.097,0.98,-2.98,4.9
0.098,0.35,-2.47,5.1
0.099,-0.08,-2.39,4.98
0.1,-0.08,-2.47,5.02
0.101,-0.35,-3.1,5.41
0.102,-0.27,-3.77,6.86
0.103,1.14,-3.96,9.85
0.104,0.82,-4.71,11.41
0.105,1.14,-5.92,16.67
0.106,4.82,-1.8,17.85
0.107,1.73,-2.67,11.3
0.108,2.47,-3.49,10.83
0.109,2.9,-1.84,10.12
0.11,2,-1.06,6.9
0.111,1.8,-1.65,5.18
0.112,0.94,-1.57,4.16
0.113,0.82,-2,3.8
0.114,1.33,-2.08,4.08
0.115,1.06,-2.2,4.79
0.116,1.77,-2.12,5.65
0.117,2.39,-2.51,6.79
0.118,2.51,-2.63,8.39
0.119,3.49,-5.14,9.26
0.12,5.33,-5.37,12.91
0.121,4.47,-2.28,11.92
0.122,2.55,-4.39,10.87
0.123,4.43,-3.77,10.9
0.124,2.47,-3.02,9.14
0.125,1.45,-3.1,5.77
0.126,0.82,-3.73,4.67
0.127,0.39,-2.86,5.06
0.001,0.31,-2.98,5.88
0.002,1.02,-3.22,6.59
0.003,0.86,-3.06,7.26
0.004,0.59,-2.98,8.28
0.005,1.41,-3.45,9.22
0.006,1.49,-4.2,9.73
