NAME:,run_3_1,,
EXPERIMENT TIME:,19/06/2023 17:30,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,163,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.1,-1.53,10.24,-2.75
0.2,-1.29,9.65,-2.75
0.3,-1.49,10.47,-2.16
0.4,-1.29,11.3,-7.1
0.5,-0.86,11.57,-6.39
0.6,0.63,1.53,-2.51
0.7,-3.45,0.9,-2
0.8,2.67,13.18,-14.12
0.9,2.47,16.36,-0.94
1,1.65,3.96,-1.84
1.1,-3.06,2.35,-3.69
1.2,4.82,20.01,0.9
1.3,-2.79,5.22,-1.61
1.4,-3.18,1.84,-5.14
1.5,3.84,16.08,-7.02
1.6,0.94,16.28,-1.69
1.7,1.84,4.59,-0.16
1.8,-2.67,-0.04,2.98
1.9,0.31,17.85,-9.14
2,-0.35,1.57,-1.06
2.1,-8.2,-0.63,-5.57
2.2,-1.53,20.01,6.39
2.3,-0.71,19.1,0.27
2.4,-4.24,5.3,0.04
2.5,0.2,-3.96,0.16
2.6,-2.28,20.01,-4.51
2.7,-1.26,4.71,-2.2
2.8,-6.16,2.43,-6.79
2.9,-3.8,15.18,3.65
3,-2.43,20.01,0.12
3.1,-3.49,4.79,0.9
3.2,-1.53,-2.43,0.75
3.3,-9.53,20.01,-0.16
3.4,-4.31,7.02,-1.53
3.5,-4.2,3.18,-5.18
3.6,-12.2,10.16,-13.53
3.7,-8.87,20.01,1.96
3.8,-2.79,0.31,-4.28
3.9,1.73,-1.69,-9.85
4,-6.2,20.01,-14.55
4.1,-3.8,14.2,-2.12
4.2,-3.02,1.84,-2.35
4.3,1.18,2.94,0.75
4.4,-9.18,19.77,10.2
4.5,4.2,7.18,-2.9
4.6,0.94,0.16,-5.49
4.7,-12.08,13.85,-16.32
4.8,3.02,20.01,-0.43
4.9,3.18,-0.82,-2.82
5,-5.06,-1.65,-2.04
5.1,-0.71,19.81,5.3
5.2,3.84,6.71,-3.22
5.3,0.63,2.55,-6.24
5.4,-5.84,8.75,-13.06
5.5,0.24,20.01,0.98
5.6,3.33,1.26,-3.92
5.7,-6.51,-0.08,-3.92
5.8,1.37,17.18,-15.06
5.9,5.02,15.89,1.14
6,-1.73,8.47,-5.33
6.1,0.51,3.18,-2.86
6.2,5.3,20.01,-2.35
6.3,-0.08,3.77,-2.12
6.4,-5.49,-0.98,-4.31
6.5,-2.59,20.01,5.02
6.6,-2.9,18.55,1.88
6.7,-5.45,4.79,-0.94
6.8,0.27,-0.43,-0.82
6.9,-3.77,20.01,-7.1
7,-4.08,8.87,-1.14
