NAME:,run_2_3.csv,,
EXPERIMENT TIME:,01/06/2023 08:53,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,152,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,0,0,0
0.1,-9.06,-7.85,2.86
0.2,-8.79,0.59,4.12
0.3,-5.41,0,4.63
0.4,-3.61,-0.55,5.3
0.5,-4.08,-10.24,10.43
0.6,-10.59,0.04,-11.41
0.7,-9.73,-1.61,-4.08
0.8,-20.01,17.42,20.01
0.9,-20.01,17.42,20.01
1,-20.01,17.42,20.01
1.1,-20.01,17.42,20.01
1.2,-20.01,17.42,20.01
1.3,-2.04,1.69,6.12
1.4,-2.04,1.69,6.12
1.5,-2.04,1.69,6.12
1.6,-2.04,1.69,6.12
1.7,-2.04,1.69,6.12
1.8,3.49,-5.18,6.12
1.9,-20.01,-8.28,5.61
2,-1.41,-9.65,0.24
2.1,-1.41,-2.12,-5.18
2.2,-0.2,-2.82,-10.16
2.3,-17.77,-3.84,-9.65
2.4,-17.77,-3.84,-9.65
2.5,-3.22,5.14,3.96
2.6,-20.01,7.81,-6.63
2.7,-16.28,7.88,-8.2
2.8,4.59,-8.28,-5.77
2.9,-11.89,6.79,16.44
3,-20.01,-20.01,-20.01
3.1,-20.01,5.22,-7.26
3.2,6.24,5.22,6.71
3.3,-3.53,-2.86,0.27
3.4,-5.33,-4,0.16
3.5,-2.79,-1.84,-3.45
3.6,-7.37,1.1,-8.08
3.7,-9.1,-4.31,-9.81
3.8,-20.01,-0.35,-6.9
3.9,-1.45,7.61,1.02
4,-7.45,-1.73,-0.27
4.1,-20.01,-4.82,2.79
4.2,-3.26,-5.69,0
4.3,-3.26,-5.69,0
4.4,-18.87,-4.24,-8
4.5,-20.01,-2.12,-14.32
4.6,-11.53,5.26,2.59
4.7,-0.39,4.16,4.24
4.8,-18.67,6.94,-4.51
4.9,-17.34,4.75,-6.63
5,4.16,-6.98,-4.12
5.1,-7.37,7.1,13.26
5.2,-7.37,7.1,13.26
5.3,-20.01,-18.16,12.71
5.4,-6.51,6.71,1.06
5.5,-2.55,3.73,3.18
5.6,-20.01,9.61,-7.22
5.7,-17.65,0.71,-3.26
5.8,4.28,-8.67,-1.41
5.9,-16.24,10.47,8
6,-16.24,10.47,8
6.1,-18.04,-18.32,7.06
6.2,-7.18,10.94,6.43
6.3,-2.04,2.71,3.33
6.4,-2.04,2.71,3.33
6.5,-16.32,2.08,-5.69
6.6,4.9,-8.12,-1.37
6.7,4.9,-8.12,-1.37
6.8,4.9,-8.12,-1.37
6.9,4.9,-8.12,-1.37
7,4.9,-8.12,-1.37
7.1,-8.75,4.43,7.06
7.2,-8.75,4.43,7.06
7.3,-8.75,4.43,7.06
7.4,-8.75,4.43,7.06
7.5,-8.75,4.43,7.06
7.6,-20.01,2.51,-4.98
7.7,-13.1,6.59,9.26
7.8,-4.43,5.81,1.37
7.9,-4.43,5.81,1.37
8,-20.01,-1.29,10.98
8.1,-10.43,-7.69,-3.73
8.2,-4.94,0.63,-0.04
8.3,-0.2,-0.39,0.75
8.4,-0.2,-0.39,0.75
8.5,-20.01,3.06,-5.14
8.6,-20.01,3.06,-5.14
8.7,-9.89,5.77,6.55
8.8,-2.04,6.12,6.12
8.9,-20.01,-3.02,15.3
9,-16.12,-0.82,-3.33
9.1,2.39,-7.69,-5.02
9.2,-20.01,-7.65,-11.1
9.3,-20.01,1.02,-6.55
9.4,-20.01,1.02,-6.55
9.5,-2,3.53,4.94
