NAME:,running3,,
EXPERIMENT TIME:,05/06/2023 19:28,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,160,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.001,0.12,-2.75,8.24
0.002,-0.04,-2.55,8.36
0.003,0.16,-2.47,8.59
0.004,0.31,-2.35,8.71
0.005,0.35,-2.39,8.47
0.006,0.16,-2.39,8.39
0.007,0.24,-2.47,8.55
0.008,0.04,-2.63,8.59
0.009,0,-2.67,8.75
0.01,-0.08,-2.51,9.1
0.011,0,-2.39,9.3
0.012,-0.04,-2.43,9.1
0.013,-0.27,-2.79,8.55
0.014,-0.9,-3.02,9.06
0.015,-0.43,-2.08,10.08
0.016,-0.55,-2,8.9
0.017,-0.51,-2.16,8.39
0.018,-1.41,-1.65,7.73
0.019,-1.77,-2.31,7.14
0.02,-2.28,-2.98,7.41
0.021,-2.04,-3.26,9.77
0.022,-1.29,-2.43,11.61
0.023,-1.49,-2.47,10.08
0.024,-1.69,-2.47,8.32
0.025,-2.24,-2.12,7.77
0.026,-2.43,-2.39,7.77
0.027,-2.43,-2.47,8
0.028,-2.12,-2.67,8.2
0.029,-2.08,-2.94,7.92
0.03,-1.96,-3.1,8
0.031,-1.57,-3.18,8.55
0.032,-1.33,-3.1,8.36
0.033,-1.02,-3.33,8.94
0.034,-0.82,-3.02,9.14
0.035,-1.26,-2.55,8.67
0.036,-1.88,-1.65,9.1
0.037,-0.31,-1.57,9.26
0.038,-0.24,-2.9,9.06
0.039,0.35,-2.63,10.98
0.04,-0.04,-1.8,11.65
0.041,-0.12,-1.14,10.32
0.042,-0.08,-2.35,7.53
0.043,-0.12,-2.98,5.77
0.044,0,-2.9,5.96
0.045,-0.39,-2.82,6.35
0.046,-0.9,-2.9,6.51
0.047,-1.45,-2.71,7.1
0.048,-1.26,-3.41,7.81
0.049,-2.12,-3.77,7.73
0.05,-1.88,-3.92,9.49
0.051,-1.77,-2.86,9.81
0.052,-2.43,-4.43,11.69
0.053,-0.59,-2.16,15.18
0.054,-0.86,-1.45,11.85
0.055,-0.04,-1.37,8.98
0.056,-0.16,0.63,7.18
0.057,0,-0.04,5.3
0.058,-0.43,-0.55,4.39
0.059,-0.08,0.04,5.88
0.06,0.55,0.2,7.26
0.061,1.02,-3.22,8.98
0.062,1.18,-2.43,13.53
0.063,-0.12,-1.41,14.47
0.064,0.51,-2.12,14.75
0.065,0,-3.26,11.85
0.066,0.16,-4.04,7.81
0.067,-0.67,-4.39,4.59
0.068,-1.65,-4.94,2.94
0.069,-3.1,-2.82,3.49
0.07,-3.1,-3.37,3.88
0.071,-2.04,-2.16,6.04
0.072,-2.79,-4.2,9.02
0.073,-0.67,-6.71,13.53
0.074,-2.86,-3.92,16.08
0.075,0.16,0.16,16.87
0.076,0.39,0.39,12.08
0.077,-0.55,0.35,7.1
0.078,1.37,-0.86,3.69
0.079,1.73,-1.1,2.9
0.08,1.65,0.31,3.06
0.081,2.04,-0.43,3.53
0.082,1.73,-2.82,7.37
0.083,0.82,-6.47,14.08
0.084,-0.94,-1.69,18.12
0.085,-1.29,-5.02,14.87
0.086,-1.18,-6.9,10.67
0.087,-2.82,-4.43,4.82
0.088,-1.73,-5.18,2.16
0.089,-2.51,-5.22,0.9
0.09,-2.79,-1.33,2.63
0.091,-1.84,-2.39,5.06
0.092,-2.75,-2.2,11.77
0.093,-1.53,-5.45,17.42
0.094,-2.08,-4.51,19.81
0.095,-0.04,-0.12,15.85
0.096,-0.12,-1.26,8.63
0.097,0.47,0.08,4.39
0.098,2.12,0,3.65
0.099,1.92,1.02,2.43
0.1,2.2,1.49,2.86
0.101,1.41,-1.1,4.16
0.102,2.75,-0.63,9.96
0.103,0.16,-8.67,15.38
0.104,-1.92,-2.47,18.79
0.105,-0.31,-1.1,13.89
0.106,-0.63,-5.61,6.83
0.107,-0.2,-2.75,6
0.108,-2.12,-2.39,2.94
0.109,-2.9,-4.12,0.98
0.11,-2.55,-2.63,2.39
0.111,-1.37,-2.67,6.39
0.112,-3.41,-5.33,12.12
0.113,-3.57,-6.75,19.89
0.114,-2.82,1.8,18.59
0.115,-1.37,1.96,10.43
0.116,2,-3.18,4.71
0.117,2.35,1.57,5.88
0.118,2,2.43,5.45
0.119,2.43,0.31,3.61
0.12,1.29,0.27,3.41
