NAME:,run_5_1,,
EXPERIMENT TIME:,19/06/2023 17:33,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,158,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.1,-3.92,9.34,-0.16
0.2,-3.3,9.92,0.08
0.3,-7.14,7.65,-3.37
0.4,-3.06,9.26,-2.08
0.5,0.04,13.38,-1.29
0.6,-1.77,10.12,-0.98
0.7,1.14,4.82,-0.16
0.8,-9.18,9.18,-11.96
0.9,-3.96,20.01,-1.02
1,-3.22,7.3,-0.43
1.1,-0.67,1.14,0.98
1.2,-1.49,18.83,-8.75
1.3,-4.08,18.12,2.39
1.4,-5.33,3.33,-0.59
1.5,1.65,0.16,-0.31
1.6,-10.08,20.01,-2.04
1.7,-3.8,7.18,-2.08
1.8,-3.41,3.92,-1.02
1.9,-3.45,7.77,-3.37
2,-12.16,20.01,-0.39
2.1,-6.86,10.47,2.75
2.2,2.51,1.1,-4.24
2.3,-8.94,17.22,-1.65
2.4,-5.49,15.46,-0.55
2.5,-1.92,-0.27,-1.37
2.6,-9.18,4.51,-10.75
2.7,-7.02,12.75,-1.06
2.8,-1.06,4.28,-4
2.9,3.37,-0.24,-5.33
3,-15.53,20.01,17.02
3.1,-3.49,17.65,0.59
3.2,-2.71,2.75,0
3.3,-3.14,-1.06,-2.51
3.4,-6.51,16.95,3.53
3.5,1.45,5.37,-3.41
3.6,2.82,-0.27,-5.37
3.7,-12.36,20.01,8.16
3.8,-4.63,16.59,0.47
3.9,-3.18,0.71,-0.82
4,2.2,-1.29,-1.77
4.1,-6.79,20.01,14.83
4.2,1.84,2.75,-3.18
4.3,0.71,-0.31,-5.18
4.4,-7.96,10.32,-15.69
4.5,-0.24,20.01,0.86
4.6,-1.1,-1.26,-2.39
4.7,-11.18,-1.69,-10.04
4.8,-13.34,14.71,6.08
4.9,-0.55,-0.24,-5.45
5,-0.67,0.31,-7.49
5.1,-14.98,17.69,2.79
5.2,-2.12,20.01,0.55
5.3,-1.84,0.08,0.98
5.4,-4.82,0.71,-5.81
5.5,-7.26,12.94,11.45
5.6,3.49,7.3,-2.94
5.7,3.22,-1.65,-4.24
5.8,-16.08,20.01,19.89
5.9,-5.22,20.01,1.37
6,0.51,-1.73,1.37
6.1,-2.71,3.22,0.75
6.2,0.55,15.53,-7.45
6.3,6.51,6.32,-2.2
6.4,1.26,2.28,-4.67
6.5,-4.08,13.61,-16.48
6.6,-2.12,20.01,2.08
6.7,0.16,-1.02,-4.79
6.8,1.41,-2.35,-2.79
6.9,-8.16,20.01,19.14
7,3.73,4.51,-0.47
7.1,0.51,-0.86,-6.79
7.2,-15.02,19.73,3.92
7.3,-3.45,16.71,1.33
7.4,-0.59,-0.51,-1.65
7.5,-4.75,1.69,-2.43
7.6,-8.36,15.02,2.9
7.7,1.29,4.24,-3.18
7.8,2.28,-0.98,-6.75
7.9,-10.32,20.01,4.35
8,-4.04,14.04,0.04
8.1,-3.1,1.57,1.14
8.2,-8.2,5.81,-10.12
8.3,-8.79,16.44,2.71
8.4,1.65,3.57,-2.94
8.5,2.28,-2.35,-10.12
8.6,-11.89,20.01,8.83
8.7,-4.47,13.42,1.61
8.8,-1.29,1.02,-1.77
8.9,1.84,3.88,0.71
9,-1.45,17.5,10.79
9.1,-2.31,6.51,-3.96
9.2,3.06,-1.14,-5.84
9.3,-9.41,20.04,-19.97
9.4,0.43,20.01,1.57
9.5,1.22,1.8,-2.67
9.6,-4.94,-2.12,-4.31
9.7,-7.14,14.24,2.79
9.8,1.88,3.41,-4.43
9.9,2.75,-0.47,-5.3
10,-3.45,20.01,-17.46
10.1,-3.33,18.12,1.06
10.2,-1.49,-0.31,-0.35
10.3,-2.67,4.51,-2.28
10.4,-7.37,20.01,5.96
10.5,1.18,4.94,-4.35
10.6,2.16,-0.67,-6.39
10.7,-10.43,20.01,-18.08
10.8,-4.86,12.51,0.94
10.9,-3.06,3.77,0.9
11,-12.94,18.55,-12.55
11.1,-12.91,20.01,2.12
11.2,-2.9,3.84,-1.96
11.3,1.57,-2.47,-5.69
11.4,-8.94,20.01,-8.83
11.5,-6.12,12.83,0.63
11.6,-1.84,3.1,0.08
11.7,-2.71,5.26,-2.43
11.8,-5.41,17.02,4.63
11.9,-1.37,5.22,-3.06
12,2,-1.49,-7.85
12.1,-11.89,20.01,11.89
12.2,-8,14.24,1.61
12.3,-0.9,1.22,-2.71
12.4,-7.77,3.92,-12.32
12.5,-4.24,18.36,3.77
12.6,1.06,4.31,-5.26
12.7,1.92,-1.02,-5.26
12.8,-10.63,20.01,1.29
12.9,-3.96,18.24,0.78
13,-1.53,1.26,-1.06
13.1,-0.27,0.63,1.26
13.2,-8.79,20.01,10.71
13.3,2.2,6.12,-2.08
13.4,2.43,-1.41,-4.35
13.5,-14.47,20.01,17.06
13.6,-5.45,17.06,3.14
13.7,-1.06,-0.51,-3.18
13.8,-9.22,3.73,-6.83
13.9,-9.18,13.34,1.61
14,-1.02,3.77,-4.51
14.1,2.28,-0.98,-8.12
14.2,-20.01,20.01,20.01
14.3,-7.77,12.55,1.53
14.4,-2.9,4,-0.08
14.5,-17.57,9.1,-16.36
14.6,-8.04,20.01,2.31
14.7,-5.02,3.41,-1.84
14.8,1.37,-2.35,-8.28
14.9,-7.69,20.01,-1.65
15,-7.53,12.2,0.31
