NAME:,walk_2_1,,
EXPERIMENT TIME:,19/06/2023 17:24,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,112,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.1,-2.9,9.38,-1.69
0.2,-3.1,9.92,-1.02
0.3,-3.26,8.98,-0.47
0.4,-3.53,8.67,-0.67
0.5,-3.06,8.87,-0.27
0.6,-9.45,14.04,-3.61
0.7,-4.67,10.9,-3.41
0.8,-3.1,10.28,-2.82
0.9,-0.98,6.32,-3.26
1,-0.78,8.47,-1.92
1.1,-1.88,10.75,-1.61
1.2,-1.53,12.4,-0.67
1.3,-2.75,9.96,-5.14
1.4,-4.63,12.83,-4.31
1.5,-2.43,5.41,-2.24
1.6,-1.37,6.83,-0.94
1.7,-4.82,15.65,1.53
1.8,-13.14,20.01,-8.08
1.9,-0.04,8.94,-5.53
2,-1.29,6.24,-3.26
2.1,-0.94,7.49,-2.08
2.2,-2,10.67,-2.24
2.3,-0.71,12.67,-2.39
2.4,-5.45,9.45,-5.02
2.5,-2.28,10.08,-4.28
2.6,-1.88,4.08,-1.33
2.7,-3.57,8.87,-1.26
2.8,-4.47,14.75,0.75
2.9,-4.28,7.73,-4.12
3,-6.71,12.2,-3.88
3.1,0.12,5.26,-3.22
3.2,-0.24,8.04,-1.1
3.3,-2.2,12.16,-1.14
3.4,-0.71,15.85,-7.1
3.5,-3.18,15.14,-3.73
3.6,-1.49,6.55,-2.35
3.7,-0.9,4.35,-1.65
3.8,-3.65,12.75,-2.71
3.9,-7.57,20.01,-2.79
4,-1.14,7.1,-1.84
4.1,-0.55,9.81,-1.8
4.2,-2.12,12.79,-4.43
4.3,-4.9,8.43,-4.2
4.4,-2.08,10.67,-4.43
4.5,-1.26,4.59,-2.08
4.6,-2.86,7.3,-0.86
4.7,-3.18,15.06,-0.27
4.8,-11.06,12.83,-7.14
4.9,-1.8,9.14,-5.26
5,-1.65,5.88,-2.47
5.1,-0.86,8.83,-1.61
5.2,-2.86,10.75,-0.71
5.3,-4.55,20.01,0.51
5.4,-2.47,15.61,-2.63
5.5,-0.59,8.24,-3.69
5.6,-1.53,4.2,-1.45
5.7,-2.94,8.83,-2.55
5.8,-3.33,14,0.39
5.9,-1.88,6.9,-2.16
6,-7.34,13.61,0.12
