NAME:,running4,,
EXPERIMENT TIME:,05/06/2023 19:30,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,130,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.001,-2,-3.26,8.36
0.002,-2.12,-3.73,8.12
0.003,-2.39,-3.96,7.85
0.004,-1.96,-4.47,8.39
0.005,-2.08,-3.88,8.55
0.006,-1.96,-3.96,8.63
0.007,-2.04,-3.53,8.39
0.008,-2.35,-3.14,7.81
0.009,-2.51,-3.33,7.41
0.01,-2.43,-3.26,7.85
0.011,-2.28,-3.3,7.81
0.012,-1.8,-3.73,7.88
0.013,-1.61,-3.65,8.36
0.014,-1.41,-3.77,8.2
0.015,-1.1,-3.84,7.96
0.016,-1.37,-3.69,7.65
0.017,-1.41,-3.45,8.04
0.018,-1.69,-3.41,8.04
0.019,-1.61,-3.57,8.36
0.02,-1.02,-3.45,8.55
0.021,-0.98,-2.82,9.02
0.022,-1.8,-4.24,9.77
0.023,-0.63,-3.49,12.36
0.024,-2.04,-0.2,10.83
0.025,-0.71,-4,8.43
0.026,-0.12,-3.8,8.28
0.027,-0.9,-2.55,8.39
0.028,-1.37,-2.86,8.2
0.029,-1.45,-2.67,7.3
0.03,-0.78,-2.47,5.96
0.031,0.24,-3.65,5.84
0.032,-0.86,-1.96,5.49
0.033,-0.82,-3.1,5.69
0.034,-0.86,-2.9,7.57
0.035,-2.43,-4.86,13.34
0.036,-1.77,-5.41,17.3
0.037,-3.69,-4.51,14.59
0.038,-2.75,-3.88,11.92
0.039,-1.26,-3.26,9.53
0.04,-1.22,-1.33,6.39
0.041,0.35,-1.41,3.41
0.042,0.39,-1.14,2.2
0.043,1.26,-0.08,3.26
0.044,0.86,0.51,3.61
0.045,1.53,-1.1,5.3
0.046,0.59,-4.82,10
0.047,1.92,-6.08,16.75
0.048,-0.31,-2.12,15.77
0.049,0.86,-4.31,12.47
0.05,-0.86,-4.86,9.3
0.051,-0.9,-3.14,5.73
0.052,-0.82,-4.67,3.06
0.053,-2.51,-2.98,4.16
0.054,-1.96,-3.02,5.02
0.055,-2.79,-3.37,6.35
0.056,-2.2,-3.57,13.73
0.057,-1.22,-7.26,15.65
0.058,-2.47,-2.55,14.75
0.059,0.35,-1.22,12.36
0.06,0.9,-2.31,9.41
0.061,-1.26,0.86,5.65
0.062,1.49,0.2,4.67
0.063,2.39,0.55,4.39
0.064,1.45,0.08,3.92
0.065,1.84,-1.14,7.1
0.066,0.35,-6.08,10.16
0.067,0.24,-8.94,14.4
0.068,0.86,-2.63,14.75
0.069,-0.94,-5.81,6.9
0.07,-0.82,-7.41,4.63
0.071,-1.96,-1.53,4.98
0.072,-0.9,-5.14,4.04
0.073,-3.14,-1.84,5.02
0.074,-2.24,-1.61,6.24
0.075,-2.71,-4.79,10.28
0.076,-0.94,-8.39,16
0.077,-2.94,-4.67,15.3
0.078,-0.98,-1.02,9.49
0.079,-0.63,-3.14,6.04
0.08,0.16,1.41,7.37
0.081,0.82,0.82,5.92
0.082,2.51,-0.63,4.2
0.083,1.84,-1.22,4.39
0.084,2.16,0.55,7.81
0.085,0.86,-9.3,11.69
0.086,1.96,-7.81,14.75
0.087,-0.86,-1.84,12.67
0.088,0.16,-8.12,8.08
0.089,-0.78,-3.69,8.63
0.09,-1.02,-2.71,6.55
0.091,-1.22,-4.98,2.47
0.092,-1.73,-4.31,2.82
0.093,-2.71,-2.75,6.08
0.094,-2.67,-3.22,8.28
0.095,-4.31,-9.34,13.49
0.096,-0.31,-5.88,19.73
0.097,-3.49,-0.67,13.22
0.098,0.86,-4.79,7.73
0.099,-0.51,0.47,8.32
0.1,0.16,1.57,7.41
0.101,2.2,0.43,4.82
0.102,2.59,-0.71,3.37
0.103,1.96,0.55,3.53
0.104,2.39,-1.69,7.14
0.105,2,-7.41,11.06
0.106,0.75,-9.06,16.16
0.107,0.04,-2.24,13.38
0.108,-0.75,-7.57,5.18
0.109,1.1,-5.33,6.59
0.11,0.2,0.31,7.22
0.111,-2.31,-5.14,1.69
0.112,-3.02,-3.69,2.55
0.113,-4.2,-2.2,4.71
0.114,-2.67,-4.71,8.47
0.115,-3.61,-8.71,16.91
0.116,-0.94,-8.79,18.4
0.117,-1.53,-1.73,11.22
0.118,0.08,-4.9,6.39
0.119,0.47,-2.28,7.92
0.12,-0.82,1.53,7.45
0.121,2.79,0.35,4.86
0.122,2.47,-0.08,3.53
0.123,1.02,0.43,3.8
0.124,3.02,-2.55,6.24
0.125,2.24,-12.28,14.79
0.126,0,-2.04,16.48
0.127,1.1,-6.67,8.24
0.001,0.98,-9.06,5.18
0.002,-0.71,-2.79,6.04
0.003,-0.75,-2.79,2.67
0.004,-1.88,-4.63,2.16
0.005,-4.2,-2.51,4.2
0.006,-1.96,-3.3,9.38
0.007,-4.31,-10.83,16.87
0.008,-2.82,-5.73,19.06
0.009,-3.73,-1.69,10.67
0.01,0.9,-4.98,8.55
0.011,0.67,-2,7.73
0.012,-0.39,1.65,5.88
0.013,3.26,-1.26,6.2
0.014,1.45,-0.27,4.39
0.015,1.02,-1.57,4.12
0.016,-0.12,-0.55,7.18
0.017,-0.12,-12.83,14.28
0.018,-4.28,2,15.22
0.019,-1.29,-5.26,7.26
0.02,0.51,-9.38,4.79
0.021,-3.26,1.41,7.85
0.022,-1.88,-1.57,3.45
0.023,-1.29,-6.39,1.65
0.024,-3.33,-1.88,6.32
0.025,-1.33,-3.3,8.47
0.026,-4.63,-10.79,15.93
0.027,-3.53,-3.49,18.4
0.028,-3.06,-1.1,12.91
0.029,-0.9,-5.02,7.77
0.03,0.04,0.24,7.3
0.031,0.98,0.9,4.43
0.032,2.63,1.18,3.26
0.033,1.69,-0.55,2.2
0.034,4.04,-1.26,6.63
0.035,0.67,0.12,7.88
0.036,3.3,-11.14,16.32
0.037,-0.43,3.26,18.32
0.038,0.39,-10.79,8.36
0.039,0.63,-10.04,4.51
0.04,-2.28,0,6.71
0.041,2.94,-5.06,4.59
0.042,-3.61,-3.33,2.75
0.043,-2.51,-3.22,5.22
0.044,0.35,-5.41,9.26
0.045,-3.33,-7.77,17.69
0.046,-1.45,-6.9,18.24
0.047,-5.73,-5.06,13.34
