NAME:,walk_1_1,,
EXPERIMENT TIME:,19/06/2023 17:22,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,117,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.1,-1.92,10.43,-2.43
0.2,-1.53,9.73,-2.79
0.3,-1.73,10.32,-3.02
0.4,-1.53,9.92,-3.02
0.5,-1.29,10.32,-2.82
0.6,-0.39,11.38,-3.77
0.7,-1.84,10.4,-3.57
0.8,-3.41,10.28,-3.14
0.9,-3.3,8.39,-3.18
1,-3.65,8.55,-2.39
1.1,-1.96,7.88,-1.37
1.2,-2.98,13.42,0.27
1.3,-6.47,12.08,-3.57
1.4,-2.04,9.1,-4.43
1.5,-2.86,8.39,-2.04
1.6,-1.41,7.61,-1.22
1.7,-1.18,9.85,-2.98
1.8,-1.8,10.79,-2.86
1.9,-2.67,12.04,-7.14
2,-3.06,12.28,-3.69
2.1,-2,6.35,-2.2
2.2,-2.28,6.9,-0.43
2.3,-2.94,14.24,0.55
2.4,-11.26,19.38,-6.04
2.5,-3.92,10.04,-4.47
2.6,-1.69,6.28,-2.55
2.7,-1.02,8,-1.77
2.8,-3.1,9.92,-2.28
2.9,-3.33,12.51,-3.53
3,-6.28,9.34,-3.26
3.1,-0.9,9.18,-3.45
3.2,-2.59,5.18,-1.02
3.3,-3.02,9.38,-1.1
3.4,-2.47,14.91,0.24
3.5,-4.94,7.53,-1.92
3.6,-6.04,12.98,-2.24
3.7,-0.71,4.86,-2.71
3.8,0.24,10.16,-0.98
3.9,-2.63,12.04,-1.33
4,-1.61,16.67,-7.41
4.1,-0.39,15.34,-3.26
4.2,-1.49,6.39,-1.26
4.3,-2.43,5.26,-0.9
4.4,-1.57,13.18,-1.92
4.5,-5.45,16.55,-2.79
4.6,-1.53,8.75,-4.04
4.7,-4.16,7.02,-2.16
4.8,1.06,6.24,-2.51
4.9,-0.51,9.77,-1.41
5,-1.92,14.2,-0.9
5.1,-2.39,9.3,-10.9
5.2,-1.61,12.67,-3.3
5.3,-1.8,4.43,-2.04
5.4,-3.14,7.81,-0.04
5.5,-4.98,17.77,2.59
5.6,-7.26,9.89,-4.39
5.7,-4.2,11.26,-3.92
5.8,-1.26,4.35,-3.14
5.9,-0.94,8.24,-1.29
6,-2.28,10.47,-1.57
6.1,-0.98,15.26,-4.79
6.2,-3.88,16.71,-4.86
6.3,-0.82,6.43,-2.08
6.4,-2.12,4.2,-1.26
6.5,-3.65,9.89,-4.08
6.6,-6.32,13.73,-2.12
6.7,-0.75,7.92,-3.8
6.8,-2.16,8.94,-1.18
6.9,-0.82,5.02,-1.45
7,-0.39,8.83,-1.06
7.1,-0.59,14.51,-1.33
7.2,-6.24,12.08,-9.57
7.3,-0.12,13.93,-2.67
7.4,-1.84,2.51,-2.28
7.5,-3.06,6.43,-0.9
7.6,-4.24,15.73,1.45
7.7,-4.9,14.2,-3.88
7.8,-6.04,13.02,-3.69
7.9,-1.14,6.32,-2.63
8,-0.94,7.45,-2.28
8.1,-2.47,12.28,-1.49
8.2,-2.28,13.93,-3.1
8.3,-3.26,14.95,-2.28
8.4,-1.92,6.59,-1.53
8.5,-2.2,5.26,-1.84
8.6,-2.31,12.2,-2.2
8.7,-4.24,16.87,-0.2
8.8,-1.77,10.47,-3.65
8.9,-2.31,7.61,-2.08
9,-1.77,7.26,-1.53
9.1,-1.29,10.55,-0.31
9.2,-1.29,14.67,-3.92
9.3,-2.71,7.02,-5.84
9.4,-0.51,13.45,-4.71
9.5,-2.59,3.8,-2.16
9.6,-3.69,6.51,0.24
9.7,-2.28,12.91,-0.67
9.8,-6.39,17.61,-4.67
9.9,-4.55,12.55,-0.35
10,-0.55,5.73,-1.57
10.1,-1.22,6.79,-1.88
10.2,-2.31,9.81,-1.8
10.3,-0.55,13.93,-5.02
10.4,-6.63,7.88,-1.26
10.5,-1.88,12.04,-2.86
10.6,-2.2,2.51,-2
10.7,-2.86,7.3,-0.82
10.8,-3.45,16.67,0.9
10.9,-5.14,14.55,-4.24
11,-6.86,14.12,-3.1
11.1,-0.2,5.26,-2.28
11.2,-0.9,8,-2.47
11.3,-1.14,10.98,-2.28
11.4,-1.45,12.32,-3.88
11.5,-6.79,13.45,-0.86
11.6,-1.06,8.43,-2.67
11.7,-2.2,4.08,-2.2
11.8,-2.86,8.04,-0.9
11.9,-3.26,14.36,1.06
12,-8.39,12.32,-5.14
12.1,-3.73,11.73,-4.35
12.2,-1.49,5.61,-2.16
12.3,-0.67,8.32,-1.88
12.4,-0.82,9.65,-1.73
12.5,-1.37,12,-1.65
12.6,-3.22,9.53,-6.28
12.7,-1.88,12.47,-4.2
12.8,-2.04,4.08,-1.92
12.9,-3.77,8.12,-0.08
13,-4.35,15.26,0.39
13.1,-8.2,13.02,-4.75
13.2,-3.73,10.24,-4.31
13.3,-0.86,6.79,-2.79
13.4,-0.51,7.45,-1.88
13.5,-2.71,9.73,-2.39
13.6,-2.47,14.32,-3.8
13.7,-4.31,9.26,-3.92
13.8,-0.43,7.96,-3.57
13.9,-3.45,3.45,-0.47
14,-3.77,9.53,-1.18
14.1,-4.31,14.59,-0.82
14.2,-1.41,4.94,-3.69
14.3,-4.98,12.28,-1.53
14.4,-0.27,6.43,-2.59
14.5,-0.04,8.12,-1.18
14.6,-1.49,11.57,-1.41
14.7,0.16,16.75,-7.92
14.8,-3.53,13.81,-4.63
14.9,-1.49,6.28,-2.24
15,-1.26,5.49,-0.94
15.1,-2.98,12.98,-3.18
15.2,-5.81,17.06,-2.16
15.3,-0.59,9.18,-4.67
15.4,-3.41,7.14,-2.2
15.5,0.51,6.98,-1.77
15.6,0,11.18,-2.04
15.7,-0.94,13.34,-2.98
15.8,-5.49,8.63,-8.08
15.9,0,11.92,-4.31
16,-1.49,2.59,-2.67
16.1,-4.04,8.75,-0.63
16.2,-3.88,15.97,0.94
16.3,-4.47,4.35,-4.43
16.4,-4.43,10,-3.37
16.5,-0.98,6.47,-3.02
16.6,-1.26,9.02,-1.29
16.7,-2.94,10.63,-1.41
16.8,-3.33,15.93,-2.63
16.9,-4.59,8.87,-3.65
17,-1.53,8,-3.3
17.1,-1.26,4.94,-0.78
17.2,-4.55,9.61,-2.94
17.3,-3.65,13.96,-3.77
17.4,-0.35,6.39,-6.79
17.5,-4.31,9.96,-1.77
17.6,0.86,6.16,-1.96
17.7,0.71,10.87,-1.14
17.8,-1.29,13.49,-1.8
17.9,-2.79,14.44,-8.55
18,-1.77,17.57,-2.82
18.1,-1.96,6.04,-1.84
18.2,-2.31,6.63,0.31
18.3,-2.55,11.89,-0.82
18.4,-10.32,16.12,-4.67
18.5,-0.2,8.9,-2.98
18.6,-2.04,5.61,-2.67
18.7,0.39,6.67,-2.43
18.8,-1.65,8.67,-2.59
18.9,-0.94,13.38,-4.55
19,-6.16,7.73,-3.26
19.1,-0.35,9.3,-4.71
19.2,-1.92,4,-1.96
19.3,-4.51,10.16,-1.1
19.4,-4.2,15.38,0.86
19.5,-4.31,8.39,-3.65
19.6,-6.55,10.2,-4
19.7,-0.04,6.16,-2.9
19.8,0.2,9.3,-0.86
19.9,-1.06,11.61,-2
20,-0.43,17.1,-5.88
20.1,-3.53,11.45,-4.39
20.2,-1.92,5.73,-2.35
20.3,-0.86,4.67,-1.73
20.4,-2.79,12.47,-4.63
20.5,-5.06,15.14,-1.65
20.6,0.47,8.98,-5.26
20.7,-3.45,6.35,-1.73
20.8,0.04,7.45,-1.92
20.9,-1.06,9.14,-2.59
21,-1.88,12.83,-2.98
21.1,-5.69,10.16,-7.22
21.2,-2,12.59,-2.94
21.3,-1.92,4.31,-2.67
21.4,-3.06,7.02,-1.33
21.5,-3.77,13.3,0.39
21.6,-10.94,14.83,-5.77
21.7,-2.82,11.38,-1.29
21.8,-0.94,5.81,-2.98
21.9,-0.47,7.18,-2.59
22,-2.43,9.57,-2.35
22.1,-1.45,13.18,-3.41
22.2,-5.96,8.63,-3.37
22.3,-1.29,10.4,-4.28
22.4,-2.04,4.71,-1.92
22.5,-3.53,8.87,-0.98
22.6,-4.24,16.2,0.82
22.7,-5.22,10.79,-3.18
22.8,-4.59,10.63,-4.31
22.9,-0.78,5.84,-2.55
23,0.27,8.94,-2.04
23.1,-3.26,10.04,-1.49
23.2,-0.55,13.69,-2.08
23.3,-6.47,9.49,-2.63
23.4,-1.65,8.94,-3.69
23.5,-3.18,3.92,-0.35
23.6,-4.75,10.75,-1.41
23.7,-3.57,16.44,0.43
23.8,-1.8,4.9,-2.98
23.9,-5.77,11.57,-3.49
24,-0.78,6.39,-2.98
24.1,-0.08,8.63,-1.69
24.2,-2.51,11.57,-1.37
24.3,-2.31,14.83,-0.63
24.4,-5.06,10.63,-5.06
24.5,-1.65,7.69,-3.45
24.6,-2.63,5.22,-0.47
24.7,-4.28,9.81,-1.73
24.8,-3.65,15.42,-0.75
24.9,0.78,6.08,-4.12
25,-5.61,11.77,-3.02
25.1,-0.63,7.02,-3.3
25.2,0.39,9.34,-0.9
25.3,-1.29,11.73,-2.63
25.4,-0.47,14.51,-8.12
25.5,-2.24,14.36,-3.88
25.6,-1.49,5.84,-2.08
25.7,-2.67,5.14,-1.14
25.8,-1.77,11.89,-1.84
25.9,-4.94,14.71,-1.49
26,-1.73,7.26,-4.63
26.1,-3.69,7.85,-1.96
26.2,0.67,6.12,-1.88
26.3,0.39,10.67,-1.49
26.4,-2.79,13.38,-0.43
26.5,-4.51,13.18,-11.1
26.6,-0.43,14.91,-2.31
26.7,-2.31,5.65,-2.82
26.8,-2.71,5.3,-1.33
26.9,-1.53,11.77,-2.47
27,-11.81,18.79,-6.08
27.1,-2.2,11.26,-2.86
27.2,-1.57,6.98,-2.55
27.3,-0.51,7.69,-2
27.4,-2.04,8.79,-2.86
27.5,0.63,13.22,-4.28
27.6,-6.47,8.55,-2.47
27.7,-2.12,12.2,-4
27.8,-1.53,4.24,-2.43
27.9,-2.82,7.65,-0.63
28,-5.22,17.22,0.43
28.1,-7.18,10.67,-2.82
28.2,-5.14,11.49,-3.3
28.3,-1.73,6.79,-2.35
28.4,-0.98,7.88,-1.61
28.5,-1.57,9.34,-1.92
28.6,-1.06,14.08,-4.75
28.7,-5.96,8.47,-0.82
28.8,-2,10.79,-3.69
28.9,-2.35,4.04,-1.73
29,-4.04,9.53,-0.16
29.1,-4.59,17.38,0.31
29.2,-6.79,5.18,-2.24
29.3,-4.67,9.89,-2.47
29.4,-0.98,5.53,-2.67
29.5,-0.9,8.67,-1.29
29.6,-2.2,10.71,-2.24
29.7,-2.86,14,-2.31
29.8,-4.98,10.43,-0.78
29.9,-0.98,10.67,-3.45
30,-2.82,4.35,-0.86
30.1,-4.24,9.77,-1.06
30.2,-2.86,16.75,1.06
30.3,-0.67,7.81,-3.73
30.4,-6.35,13.26,-2.16
30.5,-0.63,5.3,-2.39
30.6,-0.39,8.87,-1.33
30.7,-1.88,12.24,-1.02
30.8,-2.2,15.93,-0.59
30.9,-4.59,9.73,-3.88
31,-1.18,8.94,-3.61
31.1,-2.2,4.43,-0.71
31.2,-5.41,9.77,-2.39
31.3,-2.24,14.32,-0.71
31.4,-0.35,6.2,-3.18
31.5,-6.2,12.32,-1.8
31.6,0.27,5.18,-2.24
31.7,0.51,10.08,-1.14
31.8,-2.16,11.53,-1.88
31.9,-0.67,17.3,-5.26
32,-3.06,9.22,-4.24
32.1,-1.37,8.04,-3.33
32.2,-1.37,5.02,-0.98
32.3,-4.04,10.71,-3.57
32.4,-3.18,13.38,-1.8
32.5,-0.2,5.88,-6.51
32.6,-4.28,9.69,-1.22
32.7,0.9,7.53,-2.2
32.8,-0.47,9.73,-1.22
32.9,-3.26,14.24,-0.98
33,-1.22,13.1,-10.08
33.1,-2.51,12.87,-4.55
33.2,-2.98,5.53,-1.96
33.3,-1.41,5.73,-0.24
33.4,-1.45,13.61,-1.33
33.5,-11.14,17.18,-5.88
33.6,-0.9,8.98,-4.43
33.7,-1.88,7.65,-1.84
33.8,-1.33,7.73,-1.53
33.9,-1.26,10.12,-1.33
34,-4.04,12.71,-2.94
34.1,-6.67,10.51,-3.77
34.2,-0.31,9.77,-4.86
34.3,-2.39,3.61,-1.18
34.4,-4.16,8.83,-1.57
34.5,-3.92,17.18,-0.9
34.6,-2.08,2.35,-2.28
34.7,-5.92,11.77,-1.06
34.8,-0.27,7.06,-2.35
34.9,-0.24,9.3,-1.02
35,-1.61,11.02,-0.59
35.1,-0.75,17.85,-2.31
35.2,-6.28,11.38,-4.43
35.3,-1.33,7.22,-3.53
35.4,-1.61,4.9,-1.29
35.5,-4.04,9.53,-2.98
35.6,-8.98,18.24,-4.12
35.7,-0.43,7.96,-4.82
35.8,-3.14,7.45,-2.16
35.9,-0.39,5.06,-2
36,0,9.41,-1.1
36.1,-0.71,11.69,-1.84
