NAME:,walk_4_1.csv,,
EXPIRAMENT TIME:,19/06/2023 12:38,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS::,127,,
,,,
Time [sec],ACC X,ACC Y,ACC Z 
0,-7.06,1.37,-4.35
0.1,-8.51,0.31,-3.61
0.2,-11.06,1.57,-5.37
0.3,-11.1,1.96,-5.69
0.4,-9.3,2.28,-5.88
0.5,-8.47,1.26,-4.98
0.6,-6.86,0.27,-4.12
0.7,-8.94,0.51,-3.88
0.8,-10.51,2.79,-6.04
0.9,-12.2,0.86,-4.12
1,-8.98,2.04,-4.28
1.1,-7.02,0.94,-3.84
1.2,-8.47,0.55,-3.53
1.3,-10.71,0.51,-3.77
1.4,-11.53,0.67,-5.61
1.5,-10.2,2.67,-6.35
1.6,-6.86,0.71,-4.35
1.7,-8.08,0.31,-3.73
1.8,-10.63,1.65,-4.55
1.9,-10.16,2.79,-5.77
2,-10.63,2.67,-5.45
2.1,-8.43,1.69,-5.14
2.2,-6.71,-0.04,-3.14
2.3,-9.92,0.55,-4.63
2.4,-10.75,0.9,-5.3
2.5,-11.26,2.51,-7.37
2.6,-9.65,-0.04,-4.55
2.7,-7.02,1.06,-4.55
2.8,-7.34,-0.47,-3.57
2.9,-10.51,2.16,-5.96
3,-11.73,1.22,-6.35
3.1,-9.65,2.98,-5.81
3.2,-6.75,1.73,-5.02
3.3,-8.04,0.47,-3.06
3.4,-11.38,1.96,-2.75
3.5,-11.73,1.88,-6.24
3.6,-9.41,2.94,-6.63
3.7,-7.49,1.29,-5.02
3.8,-7.14,0.67,-3.69
3.9,-9.81,1.45,-4.59
4,-11.26,3.49,-5.65
4.1,-10.32,2.82,-5.22
4.2,-9.02,3.49,-5.92
4.3,-6.63,1.33,-3.37
4.4,-9.69,1.61,-3.88
4.5,-10.55,1.84,-4.82
4.6,-11.26,3.22,-7.3
4.7,-7.81,1.06,-5.18
4.8,-6.67,0.94,-3.61
4.9,-8.79,1.69,-3.69
5,-10.4,3.1,-5.73
5.1,-11.38,3.02,-5.3
5.2,-8.04,4,-6.9
5.3,-6.63,2.55,-4.98
5.4,-8.12,1.45,-3.22
5.5,-10.51,2.59,-5.1
5.6,-11.61,2.86,-6.24
5.7,-8.63,3.02,-7.41
5.8,-6.79,2.08,-5.14
5.9,-6.24,0.94,-3.26
6,-9.61,2.63,-3.73
6.1,-11.85,4.59,-6.16
6.2,-10,3.69,-7.65
6.3,-7.57,2.98,-4.67
6.4,-6.43,1.84,-4.04
6.5,-9.69,1.88,-2.94
6.6,-11.26,2.28,-5.22
6.7,-11.57,3.14,-4.86
6.8,-8.59,1.96,-5.45
6.9,-6.83,1.53,-3.8
7,-8.87,1.49,-3.77
7.1,-9.77,2.47,-4.63
7.2,-10.59,3.53,-5.53
7.3,-8.55,3.06,-6.51
7.4,-6.71,1.37,-4.67
7.5,-8.51,0.78,-4.31
7.6,-10.12,1.57,-5.45
7.7,-10.32,2.63,-8.28
7.8,-8.39,2.2,-7.06
7.9,-8.2,2.24,-6.2
8,-7.77,1.37,-3.41
8.1,-9.22,1.41,-4.9
8.2,-10.4,3.49,-5.96
8.3,-9.57,4.04,-6.94
