NAME:,walk_3_1,,
EXPERIMENT TIME:,19/06/2023 17:25,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,114,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.1,-2.2,10.08,-3.06
0.2,-2,9.89,-3.37
0.3,-1.37,9.69,-4.04
0.4,-1.96,10.08,-2.75
0.5,-1.96,10.12,-3.06
0.6,-4.39,11.1,-5.45
0.7,-3.92,11.57,-4.67
0.8,-3.96,7.14,-3.02
0.9,-2.59,11.96,0.39
1,-8.2,13.81,-7.06
1.1,-5.88,13.57,-6.04
1.2,-2.47,9.14,-2.08
1.3,-1.49,8.2,-2.31
1.4,-1.41,7.49,-1.8
1.5,-2.59,8.55,-1.22
1.6,-4.16,15.81,-5.69
1.7,-2.67,10.83,-2.2
1.8,-2.55,8.79,-1.77
1.9,-2.86,5.18,-1.53
2,-2.63,9.45,-0.51
2.1,-0.78,11.3,0.39
2.2,-7.3,13.73,-2
2.3,-6.2,11.41,-4.04
2.4,-2.24,7.73,-1.92
2.5,-0.59,7.69,-1.37
2.6,-0.12,10.55,-1.37
2.7,-1.69,10.98,-1.1
2.8,-4.04,13.65,-6.67
2.9,-1.96,15.69,-3.18
3,-1.65,5.65,-2.12
3.1,-2.59,5.69,-0.55
3.2,-1.1,12.43,-0.31
3.3,-10.71,16.63,-5.88
3.4,-3.77,9.92,-5.88
3.5,-2.94,6.08,-2.51
3.6,-0.27,8.32,-2.63
3.7,-1.65,10.08,-2.08
3.8,-0.98,10.71,-0.67
3.9,-5.06,10.24,-7.53
4,-1.92,13.69,-3.57
4.1,-2.04,4.9,-2.9
4.2,-2,6.83,0.31
4.3,-3.53,14.2,2
4.4,-11.85,19.14,-5.14
4.5,-1.33,10.67,-5.69
4.6,-2.28,6.59,-1.73
4.7,-0.63,8.16,-1.22
4.8,-1.18,10.12,-2.24
4.9,-0.9,12.51,-5.69
5,-5.22,7.37,-6.79
5.1,-1.29,11.96,-5.1
5.2,-1.77,4.67,-2.39
5.3,-2.86,8.32,-0.27
5.4,-2.71,14.4,0.71
5.5,-11.41,16.2,-4.79
5.6,-2.55,10.4,-1.84
5.7,-1.14,5.14,-3.22
5.8,-1.37,6.51,-3.18
5.9,-1.53,10.63,-2.94
6,-0.82,10.63,-4.08
6.1,-5.37,8.83,-5.37
6.2,-0.59,11.45,-4.98
6.3,-2.43,5.69,-2.59
6.4,-2.43,7.3,-0.94
6.5,-1.33,8.36,-2.12
6.6,-10.83,19.81,-6.67
6.7,-5.02,12,-3.14
6.8,-2.31,6.98,-2.35
6.9,-0.78,6.79,-1.88
7,0.98,10.87,-1.96
7.1,-1.41,12.47,-0.59
7.2,-0.35,11.18,-11.38
7.3,-2.67,16.55,-2.79
7.4,-2.31,5.53,-2.67
7.5,-1.33,3.92,-1.33
7.6,-3.18,13.34,-1.88
7.7,-7.18,16,-4.39
7.8,-2.82,10.94,-0.35
7.9,-2.63,5.81,-2.31
8,-1.14,5.45,-2.12
8.1,0.51,10.75,-3.02
8.2,-3.06,12.75,-4.04
8.3,-5.02,7.73,-5.92
8.4,0.43,12.16,-4.31
8.5,-4.04,4.55,-1.65
8.6,-2.71,8,-0.63
8.7,-4.24,16.71,1.1
8.8,-3.26,4.9,-1.84
8.9,-7.57,12.12,-3.88
9,-0.12,5.06,-3.02
9.1,-0.78,8.51,-2.67
9.2,-0.94,12.12,-1.22
9.3,-2.51,18.28,-5.88
9.4,-5.45,11.22,-3.77
9.5,-2.31,7.53,-2.86
9.6,-2.16,3.22,-1.14
9.7,-3.41,11.3,-1.65
9.8,-5.1,16.36,0.04
9.9,-4.04,9.73,-3.02
10,-3.14,8.9,-1.41
10.1,0.04,6.08,-2.28
10.2,0.27,8.55,-0.9
10.3,-2.04,9.96,-1.53
10.4,-2.2,17.5,-9.26
10.5,-5.26,6.9,-4.43
10.6,-2.16,9.69,-3.1
10.7,-1.69,2.04,-2.16
10.8,-4,10.94,-1.53
10.9,-3.45,15.42,0
11,-1.18,7.41,-3.61
11.1,-8,11.85,-1.37
11.2,-0.71,4.9,-3.26
11.3,0.63,9.14,-2.08
11.4,0.39,13.26,-3.77
11.5,-0.94,12.87,-7.34
11.6,-4.39,15.02,-6.86
11.7,-2.28,6.04,-2.43
11.8,-2.12,4.98,-1.26
11.9,-2.98,10.36,-3.26
12,0.27,10.98,-1.29
12.1,-0.78,8.51,-5.84
12.2,-4.9,11.18,-1.77
12.3,-1.26,6.35,-1.92
12.4,0.78,11.49,-1.8
12.5,-0.35,15.18,-1.69
12.6,-2.31,12.67,-11.45
12.7,-3.02,15.57,-3.22
12.8,-2.24,5.57,-2.2
12.9,-1.45,4.75,-0.67
13,-1.8,10.08,-1.37
13.1,-11.89,14.87,-5.45
13.2,-0.82,8.28,-2.2
13.3,-2.2,4.98,-2.67
13.4,-0.94,7.14,-2.12
13.5,0,9.57,-3.53
13.6,-1.65,12.91,-6
13.7,-4.75,7.14,-2.98
13.8,-0.51,10.79,-4.98
13.9,-2.43,3.84,-1.18
14,-4.28,9.77,-0.39
14.1,-2.28,16.48,1.61
14.2,-3.26,9.73,-4.16
14.3,-6.12,11.57,-4.16
14.4,-1.1,6.35,-3.26
14.5,-0.47,8.67,-1.14
14.6,-0.63,12.24,-2.75
14.7,-0.82,14.98,-8
14.8,-4.2,10.9,-5.49
14.9,-1.84,7.96,-2.86
15,-0.94,3.26,-1.57
15.1,-3.77,12.51,-4.08
15.2,-2.2,16.24,-1.33
15.3,0.51,6.55,-4.9
15.4,-3.8,8.28,-1.1
15.5,-0.75,5.65,-1.88
15.6,-0.35,11.26,-2.63
15.7,-1.22,14.36,-2.08
15.8,-5.33,10.71,-8.04
15.9,-1.92,14.55,-3.22
16,-2.9,6.63,-1.84
16.1,-1.45,4.08,-1.29
16.2,-4.16,11.02,-1.88
16.3,-4.47,13.85,-2.39
16.4,-1.18,6.35,-3.53
16.5,-3.1,6.08,-2.43
16.6,-0.59,7.14,-2.67
16.7,-0.39,10.16,-2.75
16.8,-0.98,13.06,-3.22
16.9,-4.16,7.53,-7.65
17,-2.12,13.06,-3.65
17.1,-1.8,6,-2.04
17.2,-1.88,5.61,-0.67
17.3,-1.61,10.47,-0.24
17.4,-11.14,15.14,-5.65
17.5,-2.47,10.94,-1.1
17.6,-1.96,5.84,-2.2
17.7,-1.8,7.45,-2.04
17.8,-2.47,10.04,-2.24
17.9,-3.3,13.14,-3.96
18,-5.65,7.96,-2.51
18.1,-1.1,11.41,-4.67
18.2,-2.43,5.02,-1.29
18.3,-3.33,9.49,-1.22
18.4,-4.12,16.4,-1.22
18.5,-1.1,7.14,-3.49
18.6,-6.75,10.79,-3.06
18.7,-0.24,6.98,-2.47
18.8,-0.2,8.47,-0.71
18.9,-0.47,12.04,-2.9
19,-2.24,16.28,-10.12
19.1,-3.73,12.4,-5.14
19.2,-2.39,7.3,-2.67
19.3,-1.41,3.88,-0.59
19.4,-3.53,12.16,-3.65
19.5,-4.75,14.75,-1.69
19.6,-0.43,7.88,-2.98
19.7,-3.33,5.14,-1.61
19.8,-0.82,6.83,-1.77
19.9,-1.8,9.41,-3.14
20,-1.18,14.24,-5.18
20.1,-4.98,5.69,-2.75
20.2,-1.41,10.55,-3.8
20.3,-2.55,4.24,-1.37
20.4,-3.84,10.2,-0.86
20.5,-2.04,14.51,-1.84
20.6,0.35,7.81,-4.51
20.7,-6.67,11.26,-1.73
20.8,0.16,6.04,-2.51
20.9,0.2,9.61,-1.73
21,-0.94,13.38,-2.08
21.1,-1.29,12.59,-12.91
21.2,-2.04,14.44,-3.53
21.3,-2.47,7.06,-1.96
21.4,-1.49,3.77,-1.29
21.5,-3.49,12.28,-1.33
21.6,-9.3,15.69,-5.61
21.7,-1.06,10.04,-1.14
21.8,-2.51,5.45,-2.28
21.9,-0.63,6.24,-2.08
22,-1.33,9.85,-3.06
22.1,-2.16,12.98,-4.75
22.2,-6.71,7.88,-3.14
