NAME:,running1,,
EXPERIMENT TIME:,05/06/2023 19:24,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,170,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.001,-0.08,-2.59,8.79
0.002,0.04,-2.43,9.18
0.003,0.2,-2.51,8.47
0.004,0.12,-2.67,8.08
0.005,-0.08,-2.67,8.47
0.006,-0.67,-2.55,8.79
0.007,-0.39,-2.55,8.94
0.008,-0.51,-2.86,8.47
0.009,-0.75,-2.79,8.2
0.01,-0.59,-2.67,8.32
0.011,-0.63,-2.79,8.2
0.012,-0.98,-2.79,8.16
0.013,-0.75,-3.06,8.59
0.014,-0.9,-3.3,9.41
0.015,-0.59,-2.79,9.61
0.016,-0.51,-2.75,9.14
0.017,-0.86,-2.71,8.16
0.018,-1.1,-2.9,8.04
0.019,-0.75,-2.98,9.26
0.02,-0.75,-2.9,9.14
0.021,-0.63,-3.14,8.43
0.022,-0.55,-2.98,8.08
0.023,-1.14,-2.9,7.73
0.024,-0.75,-2.94,7.61
0.025,-0.31,-2.79,8.55
0.026,-0.47,-2.43,8.63
0.027,-0.16,-2.39,8
0.028,0.31,-2.86,8.67
0.029,-0.12,-2.16,8.98
0.03,0.04,-2.67,9.06
0.031,0.12,-2.67,10
0.032,0.35,-1.26,11.22
0.033,2.04,-2.51,10.28
0.034,1.18,-3.14,9.49
0.035,1.18,-1.61,9.73
0.036,1.14,-1.53,8.28
0.037,1.02,-2.47,5.92
0.038,0.39,-2.67,5.81
0.039,0.31,-2.55,7.57
0.04,0.27,-2.08,8.2
0.041,0.2,-2.43,7.96
0.042,0.82,-2.24,8.08
0.043,0.98,-2.28,7.45
0.044,0.39,-2,6.28
0.045,0.16,-3.3,9.18
0.046,-1.02,-4.2,12.32
0.047,-2.59,-3.06,12.16
0.048,-0.94,-3.41,13.89
0.049,-0.39,-2.71,13.53
0.05,-0.12,-0.94,10.24
0.051,0.67,-1.41,6.12
0.052,-0.35,-0.16,4.98
0.053,-0.55,1.41,4.04
0.054,-0.31,-0.75,4.08
0.055,-0.16,-0.75,5.06
0.056,0.78,-2.9,9.22
0.057,1.57,-3.14,11.14
0.058,2.24,-4.94,15.06
0.059,1.06,-1.57,15.73
0.06,-0.35,-3.1,9.65
0.061,0.55,-4.12,6.79
0.062,0.24,-2.9,5.96
0.063,-0.27,-1.77,4.9
0.064,-0.2,-1.8,4.59
0.065,-0.35,-2.43,5.73
0.066,-2.94,-4.55,9.81
0.067,1.14,-4.51,14.79
0.068,-2.51,-1.33,12
0.069,0.2,-2.16,14.04
0.07,-0.27,-0.75,13.06
0.071,-0.94,0,7.22
0.072,1.29,-1.49,5.92
0.073,-0.04,1.92,4.04
0.074,0.24,-0.43,3.06
0.075,1.02,-1.14,4.31
0.076,0.98,-3.84,10.47
0.077,2.75,-1.45,11.77
0.078,0,-6.28,10.87
0.079,4.08,-4.98,16.48
0.08,-0.04,-1.45,9.22
0.081,1.06,-4.67,4.79
0.082,0.78,-2.31,4.16
0.083,-0.94,-0.04,3.1
0.084,-0.12,-2.12,3.96
