NAME:,run_5_3.csv,,
EXPERIMENT TIME:,01/06/2023 09:04,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,161,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-9.22,3.53,-4.12
0.1,-9.89,0.16,-0.78
0.2,-9.89,0.16,-0.78
0.3,-9.61,-0.27,-3.14
0.4,-10.59,7.34,3.02
0.5,-12.59,3.3,-2.9
0.6,-10.12,3.06,4.2
0.7,-6.12,4.04,7.34
0.8,-20.01,-0.59,1.49
0.9,-8.63,2.63,-6.94
1,3.26,-8.12,-3.06
1.1,-15.49,-7.57,-7.69
1.2,-20.01,10.55,-8.43
1.3,2.67,-0.98,4.86
1.4,-20.01,-2.82,0.78
1.5,-20.01,-2.82,0.78
1.6,-8.51,-1.49,-5.14
1.7,4.9,-6.71,-6.51
1.8,-7.14,0.71,-9.85
1.9,-10.28,-6.71,-8.47
2,-20.01,14.98,7.41
2.1,-3.3,6.39,3.3
2.2,-20.01,7.49,-15.14
2.3,-20.01,7.49,-15.14
2.4,5.14,-10.98,-1.1
2.5,-9.49,6.55,18.2
2.6,-15.85,-7.37,-0.98
2.7,-20.01,2.04,-10.67
2.8,-1.06,9.41,2.94
2.9,-20.01,-0.59,7.14
3,-20.01,-0.59,7.14
3.1,-11.26,0.78,-5.65
3.2,-0.71,-0.59,-20.01
3.3,-0.71,-0.59,-20.01
3.4,-9.22,-6.28,-12.94
3.5,-19.34,6.55,-5.22
3.6,-1.1,6.32,3.84
3.7,-9.1,2.59,-3.96
3.8,-20.01,8.47,-12.83
3.9,1.14,-11.02,-2.16
4,-7.77,4.43,13.85
4.1,-18.2,-3.88,-1.22
4.2,-20.01,1.92,-14.36
4.3,-6.08,10.36,3.3
4.4,-2.12,1.29,5.53
4.5,-18.99,12.24,-9.61
4.6,-16.24,5.26,-10.12
4.7,-16.24,5.26,-10.12
4.8,-16.24,5.26,-10.12
4.9,-16.24,5.26,-10.12
5,-16.24,5.26,-10.12
5.1,4.43,-8.08,-3.06
5.2,4.43,-8.08,-3.06
5.3,4.43,-8.08,-3.06
5.4,4.43,-8.08,-3.06
5.5,4.43,-8.08,-3.06
5.6,-8.87,-1.92,-12.28
5.7,-17.97,6.28,9.1
5.8,1.22,5.53,-1.26
5.9,-7.49,1.1,-3.41
6,-20.01,5.22,-0.63
6.1,-7.41,-6.32,0.98
6.2,-7.53,-0.27,0.39
6.3,-4.9,3.73,-10.32
6.4,-6.83,0.16,-12.91
6.5,-13.53,3.22,8.2
6.6,-4.04,2.59,1.84
6.7,-7.65,6.67,-4.71
6.8,-20.01,10.79,3.88
6.9,-12.08,-2.51,-3.92
7,-3.53,-0.67,-0.16
7.1,-5.84,-3.1,0.39
7.2,-15.85,6.28,-8.32
7.3,-14.83,3.02,3.77
7.4,-4.28,8.55,6.94
7.5,-10.71,7.02,-7.69
7.6,-20.01,10.75,-10.67
7.7,0.35,-9.92,-1.22
7.8,-4.55,-1.18,-2.86
7.9,-8.71,0.04,-8.04
8,-20.01,-1.37,-12.2
8.1,-12.51,8.12,0.27
8.2,-3.73,7.92,3.37
8.3,-15.06,7.53,-9.49
8.4,-18.79,7.85,-10.2
8.5,0.35,-7.96,-0.51
