NAME:,run_3_3.csv,,
EXPERIMENT TIME:,01/06/2023 08:56,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,155,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,-9.92,0.55,-3.14
0.1,-10.24,2.31,-0.94
0.2,-10.24,2.31,-0.94
0.3,-10.24,2.31,-0.94
0.4,-10.24,2.31,-0.94
0.5,-10.24,2.31,-0.94
0.6,-10.24,2.31,-0.94
0.7,-3.49,1.61,-0.94
0.8,-20.01,-1.45,2.59
0.9,-10.79,-1.41,-4.31
1,-10.79,-1.41,-4.31
1.1,-0.35,-1.06,-5.77
1.2,-12.63,-4.9,-16.32
1.3,-20.01,15.38,11.06
1.4,-1.37,8.04,8.94
1.5,-3.77,-0.63,-2.55
1.6,-20.01,2.31,-2.63
1.7,-5.37,-6.98,0.39
1.8,-0.82,-1.53,-3.37
1.9,-0.82,-1.53,-3.37
2,-16.83,-0.98,-15.69
2.1,-17.5,14.04,-6.12
2.2,-2.39,3.92,-2.47
2.3,-15.34,6.71,-4.94
2.4,-18.63,10.28,-9.57
2.5,-18.63,10.28,-9.57
2.6,-9.85,3.73,15.26
2.7,-9.85,3.73,15.26
2.8,-17.34,8.79,7.02
2.9,-17.34,8.79,7.02
3,-5.18,-2.59,0.86
3.1,-5.18,-2.59,0.86
3.2,-20.01,5.18,0.24
3.3,-7.92,0.39,-0.39
3.4,-2.31,0.94,-10
3.5,-2.31,0.94,-10
3.6,-15.65,9.85,-5.84
3.7,-1.65,3.3,2.43
3.8,-1.65,3.3,2.43
3.9,-8.87,4.79,-6.94
4,-20.01,2.71,-5.3
4.1,-1.18,-7.45,-1.14
4.2,-12.55,8.47,14.47
4.3,-13.18,0.55,-4.79
4.4,-11.18,8.87,-2.16
4.5,0.75,8.43,4.75
4.6,-15.22,5.22,-6.04
4.7,-16.16,8.47,-8.98
4.8,0.08,-7.02,-2.75
4.9,-9.81,9.73,12.67
5,-20.01,-3.57,-13.22
5.1,-3.06,9.45,4.51
5.2,-3.06,9.45,4.51
5.3,-2.35,4.39,-1.69
5.4,-20.01,-3.65,1.53
5.5,-9.65,-0.12,-3.1
5.6,2.82,-3.57,-3.22
5.7,-2.16,-3.73,-14.44
5.8,-2.16,-3.73,-14.44
5.9,-2.16,-3.73,-14.44
6,-2.16,-3.73,-14.44
6.1,-2.16,-3.73,-14.44
6.2,-2.16,-3.73,-14.44
6.3,-2.16,-3.73,-14.44
6.4,-2.16,-3.73,-14.44
6.5,0.63,8.9,-0.78
6.6,-20.01,5.69,-11.89
6.7,-14.67,6.47,7.37
6.8,-0.47,8.36,0.43
6.9,-20.01,9.89,-6.35
7,-12.59,8.51,-7.41
7.1,2.47,-10,-0.63
7.2,-9.61,9.53,9.14
7.3,-16.08,-7.45,0.75
7.4,-20.01,7.61,4.43
7.5,-6.12,5.06,10.94
7.6,1.88,5.92,0.98
7.7,-20.01,16.28,-2.9
7.8,-15.14,0.2,-5.3
7.9,-1.02,-7.26,-3.06
8,-5.06,2.08,-8.75
8.1,-4.79,0.71,-11.18
8.2,-17.89,4,-5.61
8.3,-4.63,5.37,10.4
8.4,-20.01,2.94,-4.08
8.5,-11.1,-5.02,-1.41
8.6,-2.79,-0.86,-0.78
8.7,-14.51,1.06,-1.73
8.8,-17.73,-0.24,-9.26
8.9,-18.36,6.98,10.12
9,-3.41,7.14,5.14
9.1,-6,3.41,-3.1
9.2,-20.01,4.35,-5.3
9.3,-5.06,-6.67,-1.61
9.4,-5.81,0.9,2.55
9.5,-14.71,-1.77,-0.43
9.6,-20.01,1.96,-11.26
9.7,-12.04,10.51,3.22
9.8,-1.37,5.69,3.96
9.9,-20.01,13.06,-7.92
10,-15.93,8.98,-6.12
10.1,2.9,-8.04,0.24
10.2,-10.87,8.79,6.04
10.3,-10.83,-5.26,1.53
10.4,-19.85,4.43,-8.55
10.5,-5.77,7.65,3.61
10.6,0.59,5.84,5.41
10.7,-20.01,-1.77,4.47
10.8,-16.16,5.84,-2.31
10.9,2.24,-7.69,-2.2
11,-11.26,14.44,5.84
11.1,-9.45,-6.35,-3.1
11.2,-18.08,3.77,-8.83
11.3,-6.63,14,1.18
