NAME:,walking_dor1,,
EXPERIMENT TIME:,05/06/2023 19:33,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,120,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.001,-3.3,5.14,7.02
0.002,-2.63,5.57,8.59
0.003,-1.96,5.06,11.85
0.004,-3.1,4.82,15.57
0.005,-3.1,3.02,15.1
0.006,-0.31,4.24,10.94
0.007,-0.75,3.53,8.08
0.008,0.08,3.77,5.33
0.009,-0.67,3.3,4.35
0.01,-1.57,3.1,3.33
0.011,-1.57,3.02,2.59
0.012,-1.65,3.37,3.18
0.013,-1.77,3.22,2.63
0.014,-1.33,3.77,2.63
0.015,-2.2,3.77,4.28
0.016,-2.79,3.92,5.92
0.017,-4.51,5.61,10.28
0.018,-6.39,6.24,13.02
0.019,-7.65,9.1,17.69
0.02,-7.65,5.65,20.01
0.021,-3.96,5.61,12.04
0.022,-2.9,5.53,8.32
0.023,-1.88,2.43,8.47
0.024,-0.12,1.33,3.92
0.025,-0.71,1.06,3.3
0.026,-0.78,0.35,2.86
0.027,-0.16,1.29,0.35
0.028,-0.63,1.33,-0.08
0.029,-0.63,1.18,0.71
0.03,-0.51,2.04,2.59
0.031,-1.06,1.26,7.02
0.032,-1.14,3.26,12.71
0.033,2.04,3.37,10.9
0.034,-0.24,10.04,11.81
0.035,-1.45,3.1,17.89
0.036,0.86,5.26,11.34
0.037,-1.69,8.08,13.14
0.038,-3.57,2.47,11.1
0.039,-3.02,5.61,2.71
0.04,-4.04,4.12,3.14
0.041,-4.35,4.79,3.02
0.042,-4.98,5.33,3.02
0.043,-5.3,6.2,4.9
0.044,-5.45,6.08,10.12
0.045,-5.26,5.96,13.81
0.046,-2.59,5.92,13.42
0.047,-2.43,5.84,12.94
0.048,-1.77,4,15.81
0.049,0.78,2.55,11.02
0.05,1.26,3.65,8.98
0.051,0.67,0.98,10
0.052,0.55,0.39,4.55
0.053,-0.51,0.67,1.73
0.054,-0.82,0.98,1.92
0.055,-1.29,2.59,2.59
0.056,-2.12,2.9,4.24
0.057,-2.35,3.88,5.45
0.058,-1.57,4.82,6.94
0.059,-1.96,5.37,10.87
0.06,-2.24,5.33,12.43
0.061,-1.65,6.86,10.94
0.062,-3.49,2.94,18.95
0.063,-1.1,3.1,8.98
0.064,0.43,5.1,3.41
0.065,-1.8,3.49,8.83
0.066,-2.12,1.92,5.3
0.067,-1.69,2.79,2.31
0.068,-2.28,2.51,3.06
0.069,-2.04,2.82,2.47
0.07,-2.08,3.84,2.67
0.071,-3.02,4.98,7.26
0.072,-4.98,5.3,14.2
0.073,-4.75,6.16,17.93
0.074,-3.77,6.67,14.55
0.075,-1.1,7.37,16.51
0.076,-1.33,2.59,12
0.077,-1.14,2.9,4.9
0.078,-0.04,2.35,6.86
0.079,-0.59,1.8,1.61
0.08,-1.1,1.37,2.04
0.081,-0.35,2.16,1.06
0.082,-0.59,2.55,2.94
0.083,-0.51,2.43,5.65
0.084,0.27,3.61,11.45
0.085,1.26,2.67,17.14
0.086,2,5.81,14.87
0.087,0.24,4.43,19.3
0.088,-1.65,2.16,18.83
0.089,-0.24,3.8,6.28
0.09,-0.2,3.69,5.92
0.091,-1.45,3.02,4.82
0.092,-2.79,3.1,2.04
0.093,-3.96,2.79,2.71
0.094,-3.77,2.43,3.53
0.095,-2.71,3.18,5.22
0.096,-2.12,3.61,6.47
0.097,-2.28,4.39,9.96
0.098,-2.71,5.06,16.55
0.099,-3.41,7.37,19.93
0.1,-2.51,5.73,20.01
0.101,-0.98,4.24,12.16
0.102,-1.33,4.2,8.87
0.103,-1.14,2.59,8.75
0.104,-0.39,1.02,5.57
0.105,-0.04,0.39,1.77
0.106,-0.39,1.41,0.67
0.107,-0.94,2.9,2.82
0.108,-1.61,3.06,3.3
0.109,-1.18,3.37,3.22
0.11,-1.69,3.92,1.26
0.111,-0.55,3.45,1.61
0.112,-1.22,4.55,7.02
0.113,-0.75,2.31,7.96
0.114,4.94,6.83,7.14
0.115,-3.57,0.67,19.69
0.116,1.1,2.67,14.59
0.117,0.2,7.57,12.12
0.118,-2.82,2.75,12.63
0.119,-2.51,5.84,5.69
0.12,-4.59,4.55,5.26
0.121,-3.73,6,5.73
0.122,-4.28,5.57,6.43
0.123,-4.39,5.81,8.32
0.124,-4.75,5.96,10.24
0.125,-4.98,4.98,10.9
0.126,-3.41,4.75,12.08
0.127,-0.12,4.43,11.92
0.001,0.31,4.67,15.57
0.002,-1.45,1.14,11.3
0.003,-1.26,4.43,4.55
0.004,-2.24,2.86,8.83
0.005,-1.53,2.47,6.86
0.006,-0.71,2.82,3.57
0.007,-0.63,2.59,2.63
0.008,-0.27,3.02,1.84
0.009,-0.43,3.88,1.96
0.01,-1.69,3.73,3.49
