NAME:,run_2_1,,
EXPERIMENT TIME:,19/06/2023 17:28,,
ACTIVITY TYPE:,Running,,
COUNT OF ACTUAL STEPS:,155,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0.1,-3.65,9.34,-0.63
0.2,-3.84,8.87,-0.71
0.3,-2.82,9.92,-0.78
0.4,-2.67,9.45,-0.08
0.5,-3.57,13.14,-1.45
0.6,-1.02,7.92,-1.45
0.7,-0.75,2.55,-3.69
0.8,-1.65,8.63,-19.3
0.9,1.41,18.08,-3.53
1,-1.8,8.32,-2.16
1.1,-3.49,4.16,-1.06
1.2,-4.86,1.57,-4.59
1.3,-11.81,11.18,1.84
1.4,3.77,8.08,-3.45
1.5,0.78,1.37,-4.79
1.6,-5.96,6.28,-12
1.7,5.06,20.01,-1.33
1.8,-0.59,2.71,-2.04
1.9,-3.88,-0.55,-4.39
2,-0.27,20.01,-5.57
2.1,-6.75,18.2,2.08
2.2,-5.26,8.36,0.31
2.3,1.49,-3.14,-2.08
2.4,-7.26,20.01,-1.02
2.5,-7.49,11.96,0.24
2.6,-3.33,2.51,-4.24
2.7,-1.61,1.92,-2.24
2.8,-8.12,12.32,4.35
2.9,1.69,6.16,-2.55
3,-0.47,1.57,-8.51
3.1,-3.92,3.49,-6.43
3.2,3.92,19.26,0.55
3.3,-0.82,3.61,-0.35
3.4,-5.02,-2.98,-4.08
3.5,4.35,9.41,-18.91
3.6,2.67,16.91,0.9
3.7,-7.41,2.9,1.02
3.8,1.73,-1.57,-0.94
3.9,-4,20.01,-4.39
4,-5.61,10.2,0.55
4.1,-3.77,-0.08,-2.28
4.2,-1.92,5.57,-1.53
4.3,-8.94,11.85,5.22
4.4,1.06,6.2,-3.22
4.5,0.98,0.86,-6.51
4.6,-10.4,15.81,-16.32
4.7,1.61,17.61,-1.02
4.8,2.2,2.12,-1.84
4.9,-3.45,-2.28,-2.94
5,-0.86,18.28,1.22
5.1,4.9,10.36,-0.98
5.2,-0.55,4.08,-4.35
5.3,0,1.41,1.88
5.4,7.22,16.16,-5.33
5.5,-2.71,6.9,1.06
5.6,-3.37,0.12,-3.33
5.7,-2.79,6.04,-1.02
5.8,1.65,-0.08,-2.67
5.9,-13.77,20.01,19.5
6,-6.83,14.75,0.24
6.1,0.2,2.12,-4.2
6.2,-4.55,-1.61,-1.1
6.3,-5.3,12.98,2.79
6.4,2.08,7.41,-3.84
6.5,-0.9,0.43,-7.53
6.6,-5.57,11.1,-19.06
6.7,1.61,19.18,-0.16
6.8,2.28,1.65,-3.06
6.9,-4.82,-2.39,-4.47
7,2.71,7.3,-13.14
7.1,2.59,11.77,-0.86
7.2,-7.34,5.45,-1.92
7.3,2.86,-0.04,-0.82
7.4,3.06,15.89,-3.92
7.5,-5.26,9.49,0.24
7.6,-2.75,0.9,-3.61
7.7,-2.86,11.77,-7.41
7.8,-8.55,20.01,2.12
7.9,-5.06,4.55,-1.69
8,0.51,-0.55,-5.41
8.1,-6.94,20.01,-4.12
8.2,-8.39,12.51,-1.02
8.3,-2.43,3.14,-1.26
8.4,-3.69,-2.24,-0.86
8.5,-7.57,12.59,6.59
8.6,3.18,9.1,-1.49
8.7,-0.47,0.24,-5.18
8.8,-12.12,15.97,-20.01
8.9,0.59,18.83,0.04
9,2.2,0.71,-3.1
9.1,-4.16,-3.92,-5.53
9.2,1.61,17.26,0
9.3,3.02,11.61,-2.08
9.4,-3.37,3.02,-2.67
9.5,0.2,4.82,-5.69
9.6,4.98,20.01,-0.39
9.7,-0.78,2.75,-1.96
9.8,-4.63,1.14,-6.47
9.9,-2.35,20.01,17.89
10,-5.49,20.01,1.37
10.1,-6.55,3.77,-0.78
10.2,0.78,0.71,-0.47
10.3,-3.92,20.01,-4.28
10.4,-8.16,12.43,-1.69
10.5,-1.22,1.37,-0.94
10.6,0.12,3.49,-0.71
10.7,-5.77,14.36,4.35
10.8,1.65,10.04,-1.53
10.9,-0.12,-0.35,-5.69
11,-10.04,20.01,-9.26
11.1,-1.37,18.71,-1.02
11.2,1.49,2.04,-2.24
11.3,-4.51,0.67,-2.28
11.4,8.51,5.45,-16.24
11.5,-2,18.67,0.94
11.6,-5.96,4.98,-0.82
11.7,-0.63,1.41,3.22
11.8,1.92,14.51,-5.41
11.9,-4.28,10.4,1.1
12,-2.94,1.61,-2.75
12.1,-5.3,6.86,-13.06
12.2,-6.59,20.01,2.31
12.3,-3.69,6.2,0.47
12.4,0.31,-1.8,-1.37
12.5,-7.53,20.01,-5.14
12.6,-6.39,15.93,0
12.7,-2.24,3.3,-1.92
12.8,-3.06,-0.04,-0.47
12.9,-6.51,16.63,6.35
13,0.2,9.1,-3.18
13.1,0.08,1.18,-6.16
13.2,-12.67,20.01,16.32
13.3,-7.53,20.01,2.9
13.4,-0.78,-1.84,-1.29
13.5,-3.26,-4,-2.9
13.6,-2.08,15.3,5.88
13.7,0.63,10.75,-0.47
13.8,-1.18,2.04,-2.2
13.9,-0.39,4.9,-6.55
14,4.24,19.81,-1.84
14.1,-2.35,6.16,-0.78
14.2,-4.04,1.14,-4.55
14.3,0.04,20.01,4.63
14.4,-2.9,20.01,2.51
14.5,-6.79,6.75,-0.78
14.6,1.26,-1.33,-2.2
14.7,-2.16,16.91,-7.22
14.8,-7.85,12.87,0.63
14.9,-3.18,1.73,-2.79
15,-10.63,6.9,-12.16
15.1,-9.65,13.89,2.98
15.2,0.75,5.26,-4.47
15.3,0.43,0.2,-7.02
15.4,-12.67,20.01,13.42
15.5,-5.45,18.59,2.47
15.6,-0.82,1.92,-2.08
15.7,-3.1,-5.77,-1.49
15.8,1.1,18.55,-4.24
15.9,4.31,10.94,-0.24
16,-2.63,1.69,-5.02
16.1,-4.39,10.9,-18.83
16.2,-5.02,1.88,-2.35
16.3,-2.79,20.01,-2.31
16.4,-0.94,18.55,1.37
16.5,-6.24,8.71,0.43
16.6,0.63,-1.06,0.75
16.7,-4.71,20.01,-6.75
16.8,-7.61,12.12,-0.2
16.9,-1.37,-0.04,-2.82
17,-6.32,5.14,-8.71
17.1,-8.83,20.01,3.57
17.2,-2.82,4.98,-1.8
17.3,-0.08,-0.24,-4
17.4,-15.34,20.01,20.01
17.5,-5.77,16.83,0.43
17.6,0.27,2.08,-3.69
17.7,-4.39,-2.47,-2.39
17.8,-6.9,18.63,10.59
17.9,3.33,10.51,-2.43
18,-0.75,2.04,-5.33
18.1,-6.16,9.49,-16.95
18.2,3.45,18.08,-0.75
18.3,0.63,3.26,-1.61
18.4,-3.88,-0.47,-2.67
18.5,-0.47,17.22,1.65
18.6,4.24,14.98,-0.9
18.7,-2.63,3.92,-0.63
18.8,1.73,-1.77,-1.61
18.9,0.55,9.57,-4.43
19,-4.2,8.98,0.12
19.1,-3.8,-0.98,-2.9
19.2,4.39,14.08,4.28
19.3,-8.16,20.01,6.86
19.4,-2.55,9.06,-0.12
19.5,2.55,-0.2,-3.1
19.6,-8.87,20.01,-7.02
19.7,-7.65,14.95,-1.33
19.8,1.61,-2.55,-3.18
19.9,-6.08,-2.43,-4.51
20,-1.22,11.41,-12.94
20.1,5.61,11.49,1.57
20.2,2.08,1.73,-2.2
20.3,-0.63,0.63,2.31
20.4,3.61,13.61,-8.47
20.5,-7.73,11.77,2.31
20.6,-4.79,1.02,1.92
20.7,-8.47,5.1,-10.9
20.8,-6.28,15.02,1.73
20.9,2.47,9.69,-2.35
21,-1.69,1.37,-5.61
21.1,-9.3,9.53,-17.85
21.2,3.1,19.57,-0.59
21.3,2.9,4.31,-2.43
21.4,-4.47,0.2,-2.98
21.5,4.47,8.63,-7.57
21.6,3.53,13.06,-0.2
21.7,-0.43,2.82,-3.53
21.8,2.39,0.55,0.47
21.9,1.88,18.01,-2.79
22,-5.26,10,0.63
22.1,-3.41,2.31,-3.41
22.2,-7.53,2.55,-12.43
22.3,-3.37,20.01,2.75
22.4,-3.96,7.18,-0.04
22.5,-0.59,-2.12,-1.88
22.6,-6.63,20.01,1.22
22.7,-6.63,15.06,0.16
22.8,-1.1,0.78,-3.84
22.9,-6.04,1.41,-6.79
23,-7.85,10.51,0.78
23.1,-0.08,8.28,-3.84
23.2,0.39,0.12,-5.49
23.3,-8.87,20.01,4.08
23.4,-4.79,16.79,1.53
23.5,0.27,0.59,-1.96
23.6,-1.96,-2.79,-2.08
23.7,-4.9,20.01,9.89
23.8,0.47,8.98,-1.77
23.9,-0.16,2.47,-6.08
24,-6.24,10.59,-12.32
24.1,3.65,20.01,0.47
24.2,1.41,2.47,-1.77
24.3,-5.65,-1.57,-2.86
24.4,4.12,11.77,-17.06
24.5,4.24,13.53,0.35
24.6,-4.98,4.94,-3.26
24.7,0.75,0.67,0.47
24.8,3.49,19.85,-0.94
24.9,-2.47,5.61,-0.2
25,-4.71,-0.63,-4.04
25.1,1.06,20.01,-1.61
25.2,-4.43,16.44,0.24
25.3,-5.65,5.73,-1.49
25.4,0.98,-1.49,0.86
25.5,1.45,20.01,-5.49
25.6,-5.96,9.65,0.82
25.7,-4.39,0.75,-2.59
25.8,-0.86,19.97,2.67
25.9,-6.43,20.01,2.98
26,-5.57,5.88,-0.39
26.1,1.33,0,-5.3
26.2,-4.94,20.01,-4.24
26.3,-7.45,16.12,0.67
26.4,-2.51,2.86,-2.39
26.5,-0.75,1.06,-2.2
26.6,-7.1,15.53,7.53
26.7,-0.2,9.89,-4.31
26.8,-0.59,0.35,-5.02
26.9,-8.08,10.71,-18.44
27,1.69,18.16,-0.04
27.1,1.02,3.61,-1.77
27.2,-3.73,-0.2,-3.22
27.3,4.86,14.91,-8.55
27.4,0.98,16.59,0.04
27.5,-5.02,2.39,-0.75
27.6,2,2.47,-2.51
27.7,3.3,16.48,-3.61
27.8,-4.08,8.71,0.82
27.9,-3.3,2.79,-2.86
28,1.18,18.4,7.88
28.1,-5.3,20.01,3.73
28.2,-7.3,7.34,-1.29
28.3,0.47,-1.8,2.08
28.4,-2.98,16.36,-7.18
28.5,-8.59,12.24,0.98
28.6,-0.43,0.82,-2.9
28.7,-11.41,5.45,-13.22
28.8,-7.26,14.2,1.8
28.9,-0.47,6.59,-2.04
29,1.18,0.82,-4.9
29.1,-15.89,20.01,20.01
29.2,-3.3,18.83,0.04
29.3,2.71,0.75,-3.73
29.4,-7.3,1.73,-4.2
29.5,-6.47,17.42,1.65
29.6,3.22,10.87,-1.1
29.7,0.04,3.92,-4.28
29.8,-4.43,5.45,-13.42
29.9,4.86,20.01,-1.1
30,0.39,6.9,-1.37
30.1,-4.39,0.67,-2.39
30.2,4.71,12.79,-2.67
30.3,1.53,12.47,-0.31
30.4,-1.45,6.55,-4.51
30.5,0.98,2.39,-8.08
30.6,4.82,20.01,-2.98
30.7,-0.2,4.59,-1.1
30.8,-5.92,2.35,-5.3
30.9,1.84,20.01,1.41
31,-1.49,18.95,0.98
31.1,-4.43,6.98,-1.37
31.2,0.24,-2.08,0.75
31.3,-0.71,18.2,-2
31.4,-3.1,5.3,-1.1
31.5,-4.39,3.18,-4.04
31.6,-1.77,20.01,13.53
31.7,-2.94,20.01,0.35
31.8,-7.41,5.92,0.24
31.9,1.53,-1.61,0.43
32,0.75,20.01,-3.3
32.1,-0.55,3.73,-1.26
32.2,-5.06,1.77,-4.55
32.3,8.87,3.69,-13.77
32.4,2.2,9.45,0.31
32.5,-2.39,7.26,-5.69
32.6,-3.49,5.1,-14.79
32.7,3.69,20.01,-0.9
32.8,1.69,0.75,-2.12
32.9,-4.55,1.26,-4.86
33,5.65,6.2,-15.69
33.1,-0.9,16.59,1.02
33.2,-4.82,4.31,-0.82
33.3,1.06,1.22,-0.98
33.4,4.08,18.2,-2.63
33.5,-1.22,4.2,-1.26
33.6,-4.75,1.33,-5.02
33.7,-0.82,20.01,2.51
33.8,-3.22,17.85,1.96
33.9,-4.08,5.14,-0.86
34,0.94,-0.63,0.27
34.1,0.43,19.97,-2.71
34.2,-3.41,5.96,0.47
34.3,-3.57,2.16,-5.06
34.4,-0.27,20.01,10.79
34.5,-4.16,20.01,2.28
34.6,-6.16,4.51,-0.2
34.7,0.24,-0.82,-1.61
34.8,0.67,20.01,-7.81
34.9,-4.98,8.24,-0.39
35,-5.14,2.39,-3.26
35.1,-1.41,14.2,1.41
35.2,-6.51,20.01,2.86
35.3,-6.79,4.43,-0.51
35.4,0,-1.41,-1.61
35.5,-6.51,20.01,-6.86
35.6,-6.98,10.04,-0.39
35.7,-4.12,3.06,-2.55
35.8,-5.69,13.02,-1.96
35.9,-10.32,20.01,1.73
36,-4.16,4.28,-1.45
36.1,3.06,0.08,-4.94
36.2,-12.87,20.01,5.45
36.3,-6.32,14.75,-1.22
36.4,-1.14,1.88,-2.43
36.5,-12.08,5.53,-13.3
36.6,-9.3,14,0.27
36.7,0.59,4.67,-4.28
36.8,0.43,0.2,-5.26
36.9,-9.85,20.01,12.36
37,-5.41,17.46,0.39
37.1,-0.12,1.69,-1.84
37.2,-5.65,0.94,-2.59
37.3,-5.02,20.01,4.75
37.4,1.69,7.96,-2.08
37.5,-0.04,3.26,-6.35
37.6,-8.08,13.1,-11.41
37.7,0.08,20.01,-2.39
37.8,3.53,2.31,-3.49
37.9,-4.94,-1.88,-3.22
38,-1.22,20.01,2.63
38.1,3.53,8.87,-1.29
38.2,0.12,5.14,-5.81
38.3,-4.86,6.39,-14.36
38.4,4.98,20.01,-1.69
38.5,-0.82,4.39,-1.1
38.6,-4.28,1.53,-4.04
38.7,5.57,9.3,-10.08
38.8,-0.75,15.3,1.22
38.9,-5.1,6.71,-1.29
39,1.84,1.1,-5.61
39.1,2.98,20.01,-2.08
39.2,-0.39,4.35,-1.22
39.3,-4.75,1.18,-4
39.4,5.45,10.79,-13.02
39.5,-0.51,17.73,0.98
39.6,-4.31,6.39,-2.12
39.7,1.8,0.47,-1.84
39.8,3.88,20.01,-1.61
39.9,-0.2,3.84,-2.47
40,-6.39,1.06,-5.02
40.1,0.75,15.3,-15.89
40.2,1.41,10.28,-0.12
40.3,-1.53,7.26,-4.98
40.4,-0.63,5.33,-6.94
40.5,3.57,20.01,0
40.6,0.75,2.63,-1.61
40.7,-5.57,-2.16,-3.26
40.8,8.36,7.02,-11.61
40.9,3.69,13.3,-0.16
41,-0.35,4.9,-4.47
41.1,-3.02,5.84,-12.47
41.2,3.92,20.01,-0.24
41.3,0.55,4.16,-2.39
41.4,-4.79,-1.45,-3.41
41.5,8.16,6.32,-17.22
41.6,1.22,14.4,-0.9
41.7,-4.47,7.45,-1.53
41.8,0.27,-0.47,1.49
41.9,2.2,20.01,-2.31
42,-1.69,3.06,-1.18
42.1,-5.26,3.88,-5.14
42.2,0.67,18.2,-0.35
42.3,-1.41,19.69,1.26
42.4,-6.55,5.14,-1.22
42.5,1.8,-0.08,1.22
42.6,1.37,20.01,-2.98
