NAME:,walk_1_1.csv,,
EXPERIMENT TIME:,01/06/2023 09:14,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS:,103,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,10.63,0.98,-1.26
0.1,8.04,4,0.71
0.2,8.12,3.8,1.29
0.3,7.81,3.65,1.65
0.4,8.16,3.8,1.49
0.5,8.94,4.59,-0.27
0.6,8.94,4.59,-0.27
0.7,9.26,3.37,-2.43
0.8,9.22,1.88,-1.41
0.9,9.61,2.79,-2.12
1,8.94,1.26,-1.33
1.1,9.38,1.37,-0.59
1.2,11.96,0.71,-2.12
1.3,8.71,3.53,-4.79
1.4,8.71,3.53,-4.79
1.5,8.71,3.53,-4.79
1.6,8.71,3.53,-4.79
1.7,8.71,3.53,-4.79
1.8,10.79,2.63,-0.35
1.9,10.79,2.63,-0.35
2,10.79,2.63,-0.35
2.1,10.79,2.63,-0.35
2.2,10.79,2.63,-0.35
2.3,8.32,3.45,-0.35
2.4,10.43,1.26,-1.77
2.5,10.43,1.26,-1.77
2.6,9.06,3.49,-1.8
2.7,8.79,1.41,-0.27
2.8,7.22,3.1,0.12
2.9,6.12,2.51,1.06
3,10.16,4.9,1.29
3.1,12.59,6.75,-2.12
3.2,10,3.06,-1.61
3.3,7.65,1.92,-1.8
3.4,9.45,0.35,-0.67
3.5,9.3,0.9,-0.55
3.6,10.59,1.18,-1.65
3.7,13.57,2.08,-4.16
3.8,7.81,1.1,-1.1
3.9,7.69,2.79,-0.31
4,5.69,3.22,-0.24
4.1,8.59,2.28,2.24
4.2,9.73,1.73,3.02
4.3,9.73,1.73,3.02
4.4,10.16,3.37,-0.9
4.5,7.65,0.75,-0.67
4.6,8.24,1.22,-0.35
4.7,9.06,1.8,-0.86
4.8,9.06,1.8,-0.86
4.9,12.75,3.8,-5.37
5,11.41,0.04,-0.86
5.1,11.41,0.04,-0.86
5.2,7.49,2.98,0.43
5.3,8.12,2.75,1.92
5.4,10.98,3.3,2.12
5.5,10.16,3.3,-0.67
5.6,9.65,3.77,-2.04
5.7,8.08,1.49,-1.61
5.8,9.22,0.94,-1.53
5.9,10.71,1.57,-0.75
6,10.79,3.49,-5.14
6.1,11.53,0.35,-0.35
6.2,11.53,0.35,-0.35
6.3,5.14,2.82,0.2
6.4,11.65,2.94,0.78
6.5,11.38,4.98,0.82
6.6,4.98,0.2,-2.04
6.7,8.98,4.67,-1.84
6.8,8.28,0.51,-1.37
6.9,8.98,0.78,-0.27
7,8.98,0.78,-0.27
7.1,11.02,0.55,-1.41
7.2,7.92,3.88,-3.26
7.3,7.92,3.88,-3.26
7.4,7.92,3.88,-3.26
7.5,7.92,3.88,-3.26
7.6,7.92,3.88,-3.26
7.7,12.71,2,0.04
7.8,12.71,2,0.04
7.9,12.71,2,0.04
8,12.71,2,0.04
8.1,12.71,2,0.04
8.2,8.16,0.67,0.04
8.3,10.36,0.63,-1.73
8.4,12.16,2.51,-4.24
8.5,12.16,2.51,-4.24
8.6,7.49,3.02,0.16
8.7,6.63,2.94,0.24
8.8,7.37,2.47,1.92
8.9,7.37,2.47,1.92
9,9.14,3.3,2.24
9.1,11.38,5.81,-1.18
9.2,8.59,0.47,-1.88
9.3,8.87,2.71,-1.29
9.4,8.63,1.02,-0.86
9.5,8.36,0.39,-0.27
9.6,9.3,3.65,-1.84
9.7,10.9,0.9,-0.43
9.8,13.22,1.37,-4.24
9.9,9.73,1.33,-1.37
10,8.08,1.61,-0.43
10.1,7.57,3.37,-0.31
10.2,8.32,2.2,0.75
10.3,8.28,2.04,2
10.4,12.79,4.86,-1.33
10.5,8.2,2.43,-2.43
10.6,9.73,1.18,-1.22
10.7,9.14,2.2,-2.08
10.8,8.71,0.67,-0.51
10.9,10,3.45,-2.79
11,11.02,-1.57,-2.51
11.1,9.38,2.47,-3.14
11.2,8.79,2.51,-0.39
11.3,7.34,2.55,0.04
11.4,7.73,2.59,1.73
11.5,10,3.57,2.55
11.6,11.69,2.82,-2.28
11.7,7.26,2.2,-2.9
11.8,10.04,0.86,-0.24
11.9,8.94,1.29,-0.86
12,8.75,0.9,-1.61
12.1,9.57,0.63,-1.57
12.2,9.53,2.94,-2.67
12.3,12.24,-0.2,-2.59
12.4,7.85,1.33,-2.08
12.5,10.12,2.47,-0.59
12.6,8.32,3.61,-0.35
12.7,6,3.06,-0.24
12.8,9.38,3.69,1.02
12.9,12.4,3.73,1.18
13,7.06,1.57,-0.43
13.1,8.39,3.65,-1.61
13.2,8.39,3.65,-1.61
13.3,8.39,3.65,-1.61
13.4,8.39,3.65,-1.61
13.5,8.39,3.65,-1.61
13.6,8.16,0.94,-0.86
13.7,8.16,0.94,-0.86
13.8,8.16,0.94,-0.86
13.9,8.16,0.94,-0.86
14,8.16,0.94,-0.86
14.1,13.22,1.26,-0.86
14.2,12.4,5.61,-1.14
14.3,9.49,3.33,-2.43
14.4,7.37,1.77,-2.43
14.5,9.14,0.75,-0.63
14.6,8.83,0.71,-0.04
14.7,8.83,0.71,-0.04
14.8,13.06,2.55,-3.18
14.9,9.69,2.86,-1.8
15,7.53,3.02,-0.35
15.1,6.51,3.14,0.27
15.2,7.3,2.71,1.69
15.3,9.81,4.28,1.14
15.4,13.26,6.79,-2.28
15.5,9.06,3.14,-2.04
15.6,8.94,0.9,-0.67
15.7,8.28,0.86,0
15.8,10.55,2.24,-2.67
15.9,12.94,2.04,-2.94
16,6.98,3.3,-2.12
16.1,11.57,3.1,-0.39
16.2,7.06,2.47,-0.24
16.3,5.61,3.14,0.43
16.4,10.9,3.14,0.16
16.5,14.16,6.04,-2.12
16.6,5.84,0.47,-2.24
16.7,9.38,3.22,-1.57
16.8,9.18,0.9,-0.67
16.9,8.51,1.33,0
17,10.71,1.14,-2.55
17.1,12.04,0.47,-2.28
17.2,8.08,5.49,-1.49
17.3,10.4,2.39,0.24
17.4,6.32,2.79,0.04
17.5,6.59,2.75,0.78
17.6,11.22,4,0.63
17.7,14.67,6.94,-1.53
17.8,6.83,0.47,-2.55
17.9,9.45,3.61,-1.8
18,9.06,0.67,-0.47
18.1,8.47,1.53,-0.04
18.2,10.47,2.43,-2.2
18.3,11.81,-0.2,-1.53
18.4,11.81,-0.2,-1.53
18.5,11.1,1.92,0.16
18.6,7.22,2.86,-0.27
18.7,5.49,3.1,0.16
18.8,12.87,3.73,0.2
18.9,11.14,3.18,1.02
19,11.14,3.18,1.02
19.1,11.14,3.18,1.02
19.2,11.14,3.18,1.02
19.3,11.14,3.18,1.02
19.4,11.14,3.18,1.02
19.5,11.14,3.18,1.02
19.6,11.14,3.18,1.02
19.7,11.14,3.18,1.02
19.8,10.43,2,1.02
19.9,12.16,3.41,-0.04
20,12.91,6.71,-2.16
20.1,9.77,1.26,-1.57
20.2,9.77,1.26,-1.57
20.3,8.83,0.75,-0.75
20.4,8.12,1.61,0.35
20.5,11.06,1.88,-1.61
20.6,12.32,2.2,-3.53
20.7,7.34,3.8,-2.35
20.8,8.55,3.14,-0.04
20.9,6.28,3.26,-0.04
21,6.28,3.26,-0.04
21.1,6.75,2.12,1.41
21.2,14.4,7.69,-2.75
21.3,8.67,1.61,-2.28
21.4,8.87,1.57,-1.49
21.5,8.75,1.77,-0.94
21.6,9.34,0.39,-0.63
21.7,9.34,0.39,-0.63
21.8,14.32,1.06,-5.18
21.9,9.61,2.04,-1.18
22,9.61,2.04,-1.18
22.1,6.75,2.9,-0.27
22.2,6.32,2.94,0
22.3,7.41,3.02,1.37
22.4,10.04,4.2,2.71
22.5,11.26,5.57,-0.55
22.6,10.98,2.71,-1.84
22.7,7.53,0.71,-1.18
22.8,10,1.92,-0.75
22.9,10,1.92,-0.75
23,11.02,1.8,-0.47
23.1,7.02,2.47,-0.2
23.2,7.02,2.47,-0.2
23.3,8.39,2.51,0.71
23.4,8.39,2.51,0.71
23.5,7.73,2.59,-0.67
23.6,7.73,2.59,-0.67
23.7,10.04,4.86,-1.73
23.8,8.47,0.86,-1.37
23.9,8.63,0.31,-0.04
24,9.77,0.43,-1.92
24.1,12.12,-0.35,-1.77
24.2,12.2,2.71,-0.39
24.3,12.2,2.71,-0.39
24.4,6.39,2.82,-0.12
24.5,5.22,2.43,1.14
24.6,12.4,2.94,-1.33
24.7,13.45,6.67,-0.63
24.8,13.45,6.67,-0.63
24.9,13.45,6.67,-0.63
25,13.45,6.67,-0.63
25.1,13.45,6.67,-0.63
25.2,4.04,0.27,-2.55
25.3,4.04,0.27,-2.55
25.4,4.04,0.27,-2.55
25.5,4.04,0.27,-2.55
25.6,4.04,0.27,-2.55
25.7,10.4,2.28,-2.55
25.8,10.12,4.31,3.65
25.9,12.67,5.73,-1.65
26,9.85,3.8,-1.69
26.1,7.81,1.06,-1.26
26.2,8.67,0.24,0.08
26.3,8.9,0.71,-0.86
26.4,10.43,1.61,-0.39
26.5,11.77,3.1,-5.14
26.6,11.18,1.29,-0.67
26.7,6.59,1.84,-0.47
26.8,5.41,2.86,-0.35
26.9,10.71,3.06,1.18
27,12.12,3.96,2.12
27.1,6.04,1.26,-1.61
27.2,8.83,4.2,-0.9
27.3,8.36,0,-0.63
27.4,7.65,0.86,-0.24
27.5,10.08,2.16,-2.28
27.6,11.96,1.14,-1.02
27.7,8.83,4.94,-4
27.8,7.41,3.06,0.24
27.9,5.02,2.82,1.41
28,11.57,3.96,-1.1
28.1,13.34,5.57,-0.39
28.2,6.75,0.2,-1.33
28.3,8.98,4.31,-1.84
28.4,9.14,0.43,-0.55
28.5,8.75,1.49,0.67
28.6,9.85,1.57,-1.88
28.7,14.79,1.8,-4.55
28.8,10.63,0.27,0
28.9,6.2,2.9,-0.51
29,5.65,2.55,0.08
29.1,9.85,2.59,1.8
29.2,11.81,3.57,1.45
29.3,5.49,2.12,-1.37
29.4,8.71,5.26,-1.14
29.5,7.81,0.78,-1.14
29.6,8.08,0.39,0.16
29.7,10.9,1.8,-2.47
29.8,11.06,-0.35,-1.14
29.9,8.87,3.92,-3.84
30,12.4,2.12,-0.47
30.1,7.18,2.51,0.08
30.2,5.22,2.98,0.12
30.3,12.04,2.75,0.27
30.4,12.43,5.41,0.78
30.5,4.79,-0.63,-2.47
30.6,9.34,5.1,-1.22
30.7,9.34,5.1,-1.22
30.8,9.34,5.1,-1.22
30.9,9.34,5.1,-1.22
31,9.34,5.1,-1.22
31.1,9.34,5.1,-1.22
31.2,9.34,5.1,-1.22
31.3,9.34,5.1,-1.22
31.4,8.63,0.82,-0.04
31.5,11.18,5.49,-1.06
31.6,10.04,2.98,-1.02
31.7,8.28,1.29,-0.82
31.8,8.51,1.14,-0.75
31.9,8.83,0.78,-0.78
32,10.59,2.82,-1.1
32.1,11.22,3.73,-5.1
32.2,11.53,0.35,-0.82
32.3,6.67,3.3,-0.63
32.4,5.49,2.94,-0.27
32.5,9.69,1.73,1.1
32.6,11.65,3.02,1.88
32.7,6.28,1.37,-2.82
32.8,8.75,7.26,-2.28
32.9,9.06,0.51,-1.18
33,8.71,0.59,0.24
33.1,9.85,0.71,-1.53
33.2,9.85,0.71,-1.53
33.3,9.26,5.41,-4
33.4,11.53,2.55,0.27
33.5,7.18,2.67,0.12
33.6,5.1,2.39,0.27
33.7,11.85,0.98,-0.24
33.8,12.32,8.2,0.27
33.9,3.88,1.06,-3.3
34,9.3,5.53,-2.24
34.1,9.14,-0.27,-0.55
34.2,9.14,-0.27,-0.55
34.3,11.02,3.33,-0.86
34.4,10.43,3.65,-5.41
34.5,13.14,2.63,1.14
34.6,6.59,2.63,-0.16
34.7,5.53,3.57,0.2
34.8,10.59,3.37,0.39
34.9,9.45,2.63,1.92
35,9.45,2.63,1.92
35.1,9.85,3.96,-2.51
35.2,8.71,0.55,-2.12
